fy_year,vintage,region,duration,start_year,degraded,scenario_variant,discharge_vol,charge_vol,wholesale_discharge_cf,wholesale_charge_cf,energy_trading_cf,high_price_cf,fcas_cf,total_cf,major_event_payout,minor_event_payout
2025,2024-08,NSW,1h,2025,TRUE,base,456.597,-520.099," 79,398.20 ",-9292.451," 88,543.76 "," 50,349.31 "," 51,607.24 "," 140,151.00 "," 230,625.00 "," 56,000.00 "
2026,2024-08,NSW,1h,2025,TRUE,base,450.184,-511.993,115014.56,-16463.429,107358.025,64269.425,17364.075,124722.099,230625,56000
2027,2024-08,NSW,1h,2025,TRUE,base,441.949,-502.967,90927.046,-15200.909,84823.004,48375.801,16251.937,101074.939,230625,56000
2028,2024-08,NSW,1h,2025,TRUE,base,436.996,-497.136,98324.403,-19747.483,86225.164,51639.116,15037.584,101262.749,230625,56000
2029,2024-08,NSW,1h,2025,TRUE,base,431.73,-491.261,114502.189,-21706.219,100628.209,65075.782,17841.847,118470.056,230625,56000
2030,2024-08,NSW,1h,2025,TRUE,base,424.171,-481.768,87245.834,-17735.118,77281.479,43804.254,16072.146,93353.626,230625,56000
2031,2024-08,NSW,1h,2025,TRUE,base,418.061,-475.061,73133.188,-17454.829,62158.665,34514.058,10984.324,73142.989,230625,56000
2032,2024-08,NSW,1h,2025,TRUE,base,414.596,-470.88,79375.34,-20027.238,65537.761,37543.07,9750.105,75287.867,230625,56000
2033,2024-08,NSW,1h,2025,TRUE,base,405.63,-460.768,83744.189,-21070.854,69302.769,40932.716,10690.855,79993.625,230625,56000
2034,2024-08,NSW,1h,2025,TRUE,base,399.23,-453.565,90270.399,-21124.347,76456.055,45839.89,13974.236,90430.288,230625,56000
2035,2024-08,NSW,1h,2025,TRUE,base,394.22,-447.786,92074.114,-20190.433,78994.026,48290.39,13013.151,92007.177,230625,56000
2036,2024-08,NSW,1h,2025,TRUE,base,382.848,-435.703,110834.041,-20014.996,97402.815,64631.385,22733.105,120135.921,230625,56000
2037,2024-08,NSW,1h,2025,TRUE,base,378.217,-430.264,109217.062,-19143.594,96645.213,64766.507,24337.909,120983.121,230625,56000
2038,2024-08,NSW,1h,2025,TRUE,base,370.966,-422.094,114580.437,-17922.612,103738.121,71740.004,24478.86,128216.981,230625,56000
2039,2024-08,NSW,1h,2025,TRUE,base,365.099,-415.469,113779.378,-19811.721,101163.514,71107.028,23827.012,124990.525,230625,56000
2040,2024-08,NSW,1h,2025,TRUE,base,361.538,-411.962,115331.763,-20488.086,102160.592,73694.78,24112.04,126272.633,230625,56000
2041,2024-08,NSW,1h,2025,TRUE,base,352.924,-401.684,90934.248,-19925.539,79753.85,51457.358,24058.121,103811.97,230625,56000
2042,2024-08,NSW,1h,2025,TRUE,base,349.235,-398.281,97006.015,-18303.796,87499.885,59099.151,24243.284,111743.17,230625,56000
2043,2024-08,NSW,1h,2025,TRUE,base,345.785,-393.472,92202.186,-17123.612,83416.014,55006.317,24991.79,108407.803,230625,56000
2044,2024-08,NSW,1h,2025,TRUE,base,338.797,-385.529,96896.208,-16878.585,88661.013,60754.42,25212.921,113873.935,230625,56000
2045,2024-08,NSW,1h,2025,TRUE,base,450.82,-513.052,124423.795,-22841.046,108670.008,72721.806,27695.279,136365.288,230625,56000
2046,2024-08,NSW,1h,2025,TRUE,base,450.251,-512.259,124900.753,-22278.813,109940.478,73332.846,27611.033,137551.51,230625,56000
2047,2024-08,NSW,1h,2025,TRUE,base,440.451,-501.169,123915.502,-22618.812,108951.656,73368.452,27191.33,136142.987,230625,56000
2048,2024-08,NSW,1h,2025,TRUE,base,433.105,-493.803,118136.121,-23516.431,102714.142,69623.001,26453.681,129167.826,230625,56000
2049,2024-08,NSW,1h,2025,TRUE,base,426.687,-485.47,124591.494,-22985.79,109976.271,76406.434,25578.513,135554.785,230625,56000
2050,2024-08,NSW,1h,2025,TRUE,base,418.984,-476.839,114765.389,-20818.747,101589.885,68595.491,26685.45,128275.336,230625,56000
2051,2024-08,NSW,1h,2025,TRUE,base,414.084,-471.333,116415.725,-21315.595,104118.659,72113.623,26641.715,130760.375,230625,56000
2052,2024-08,NSW,1h,2025,TRUE,base,406.175,-462.886,110577.272,-19672.662,99430.339,67811.944,27467.136,126897.475,230625,56000
2053,2024-08,NSW,1h,2025,TRUE,base,401.265,-456.704,111871.222,-20961.636,99068.623,68397.953,26962.045,126030.668,230625,56000
2054,2024-08,NSW,1h,2025,TRUE,base,394.236,-448.7,102746.698,-21572.784,89990.667,60814.131,26367.478,116358.145,230625,56000
2055,2024-08,NSW,1h,2025,TRUE,base,388.695,-442.403,105717.92,-20645.268,94646.778,65439.121,27370.655,122017.433,230625,56000
2056,2024-08,NSW,1h,2025,TRUE,base,382.8,-436.182,104669.977,-19934.679,94625.349,66091.141,26601.306,121226.655,230625,56000
2057,2024-08,NSW,1h,2025,TRUE,base,375.058,-426.937,97470.148,-20201.075,87075.51,58504.016,26832.698,113908.208,230625,56000
2058,2024-08,NSW,1h,2025,TRUE,base,371.65,-423.078,104814.07,-20022.52,93946.437,66215.662,25718.446,119664.881,230625,56000
2059,2024-08,NSW,1h,2025,TRUE,base,366.449,-417.27,93920.364,-18611.154,85484.672,57775.289,25930.683,111415.356,230625,56000
2060,2024-08,NSW,1h,2025,TRUE,base,357.628,-407.546,98740.363,-20202.666,89191.787,63564.462,26876.463,116068.249,230625,56000
2025,2024-08,NSW,2h,2025,TRUE,base,921.872,-1049.096,123705.137,-25033.95,126293.993,50748.77,67242.385,193536.376,247596,69612
2026,2024-08,NSW,2h,2025,TRUE,base,906.263,-1029.884,179867.708,-34623.823,156237.09,74174.829,21933.89,178170.98,247596,69612
2027,2024-08,NSW,2h,2025,TRUE,base,886.557,-1008.106,138226.763,-31668.567,117338.292,48705.348,20749.431,138087.723,247596,69612
2028,2024-08,NSW,2h,2025,TRUE,base,878.894,-998.998,149498.576,-41585.109,117353.227,52257.746,19312.695,136665.92,247596,69612
2029,2024-08,NSW,2h,2025,TRUE,base,867.518,-985.344,172929.91,-37370.758,144704.446,71491.964,23333.538,168037.983,247596,69612
2030,2024-08,NSW,2h,2025,TRUE,base,856.009,-971.73,134485.449,-35515.387,107887.752,44108.745,21035.991,128923.743,247596,69612
2031,2024-08,NSW,2h,2025,TRUE,base,833.268,-947.152,112617.069,-36300.624,84552.993,34764.116,13472.264,98025.258,247596,69612
2032,2024-08,NSW,2h,2025,TRUE,base,829.217,-941.742,128763.355,-41655.898,95399.758,44092.268,12264.089,107663.847,247596,69612
2033,2024-08,NSW,2h,2025,TRUE,base,813.363,-923.909,129758.412,-43022.664,95002.323,42390.288,13078.959,108081.284,247596,69612
2034,2024-08,NSW,2h,2025,TRUE,base,804.724,-913.419,138704.82,-44284.607,103769.621,46515.197,17794.27,121563.889,247596,69612
2035,2024-08,NSW,2h,2025,TRUE,base,790.675,-897.629,139474.356,-42572.607,105983.026,48757.479,16576.663,122559.688,247596,69612
2036,2024-08,NSW,2h,2025,TRUE,base,780.452,-886.486,166866.434,-42339.78,132551.704,68987.71,30410.502,162962.207,247596,69612
2037,2024-08,NSW,2h,2025,TRUE,base,766.432,-870.366,165421.383,-40252.872,132978.925,70395.799,32049.157,165028.084,247596,69612
2038,2024-08,NSW,2h,2025,TRUE,base,756.465,-859.092,169162.598,-39559.268,137839.705,75667.036,32739.211,170578.916,247596,69612
2039,2024-08,NSW,2h,2025,TRUE,base,742.594,-843.339,169573.576,-41073.697,136430.39,77065.285,31620.022,168050.41,247596,69612
2040,2024-08,NSW,2h,2025,TRUE,base,732.037,-832.065,169385.295,-43293.773,135124.363,78901.966,32582.649,167707.011,247596,69612
2041,2024-08,NSW,2h,2025,TRUE,base,716.915,-814.517,146044.029,-42023.665,112855.053,56973.582,32076.181,144931.233,247596,69612
2042,2024-08,NSW,2h,2025,TRUE,base,711.056,-808.97,146896.824,-39172.467,116814.056,60452.78,33044.957,149859.012,247596,69612
2043,2024-08,NSW,2h,2025,TRUE,base,700.062,-795.206,146314.476,-37060.498,117281.085,60893.985,33619.825,150900.909,247596,69612
2044,2024-08,NSW,2h,2025,TRUE,base,691.236,-784.893,147036.561,-37022.45,117866.296,62916.877,35298.37,153164.666,247596,69612
2045,2024-08,NSW,2h,2025,TRUE,base,909.69,-1033.834,188085.838,-48234.997,149318.186,79443.677,38659.991,187978.177,247596,69612
2046,2024-08,NSW,2h,2025,TRUE,base,913.534,-1037.709,187926.891,-49506.901,147734.298,76167.931,38068.498,185802.795,247596,69612
2047,2024-08,NSW,2h,2025,TRUE,base,893.505,-1015.145,185015.961,-48368.442,145726.035,75712.471,37710.34,183436.378,247596,69612
2048,2024-08,NSW,2h,2025,TRUE,base,879.66,-1000.402,179808.454,-49992.655,138870.722,73217.871,36543.51,175414.233,247596,69612
2049,2024-08,NSW,2h,2025,TRUE,base,863.932,-981.409,183226.537,-49277.57,144807.897,78592.195,35401.258,180209.154,247596,69612
2050,2024-08,NSW,2h,2025,TRUE,base,848.227,-964.093,171796.935,-45561.143,136223.9,72000.246,36404.773,172628.673,247596,69612
2051,2024-08,NSW,2h,2025,TRUE,base,837.165,-951.269,176703.697,-46383.487,140310.428,77705.339,36223.678,176534.107,247596,69612
2052,2024-08,NSW,2h,2025,TRUE,base,828.143,-941.717,169161.538,-42945.059,136909.557,74276.288,37942.382,174851.936,247596,69612
2053,2024-08,NSW,2h,2025,TRUE,base,810.508,-921.042,166129.921,-44182.566,132261.07,71346.245,36533.516,168794.588,247596,69612
2054,2024-08,NSW,2h,2025,TRUE,base,797.821,-906.541,161897.299,-44936.134,127897.071,68469.682,35955.581,163852.654,247596,69612
2055,2024-08,NSW,2h,2025,TRUE,base,786.614,-893.948,162181.799,-44578.678,129004.971,70571.912,37132.131,166137.1,247596,69612
2056,2024-08,NSW,2h,2025,TRUE,base,777.505,-884.317,158088.333,-42934.354,126796.624,69481.347,36868.213,163664.834,247596,69612
2057,2024-08,NSW,2h,2025,TRUE,base,759.714,-863.527,158856.569,-43244.32,127384.172,70385.721,36500.744,163884.915,247596,69612
2058,2024-08,NSW,2h,2025,TRUE,base,751.689,-854.125,160210.349,-42994.622,127500.765,72023.011,34968.903,162469.668,247596,69612
2059,2024-08,NSW,2h,2025,TRUE,base,738.521,-839.414,152584.099,-42087.347,122108.974,67394.486,34590.62,156699.596,247596,69612
2060,2024-08,NSW,2h,2025,TRUE,base,726.548,-826.113,149062.493,-41749.877,119127.526,66824.27,35681.612,154809.138,247596,69612
2025,2024-08,NSW,4h,2025,TRUE,base,1824.329,-2078.142,209951.276,-69890.772,187186.905,50834.605,83979.814,271166.721,263710,74010
2026,2024-08,NSW,4h,2025,TRUE,base,1789.314,-2036.725,278106.753,-77363.294,219550.689,74394.734,28155.909,247706.596,263710,74010
2027,2024-08,NSW,4h,2025,TRUE,base,1754.179,-1997.081,221985.804,-69227.627,169649.743,48734.344,27557.061,197206.801,263710,74010
2028,2024-08,NSW,4h,2025,TRUE,base,1735.182,-1975.843,237801.78,-88360.088,166804.461,52416.636,26017.143,192821.602,263710,74010
2029,2024-08,NSW,4h,2025,TRUE,base,1716.489,-1953.279,264609.824,-78419.97,202713.92,71978.661,31943.394,234657.314,263710,74010
2030,2024-08,NSW,4h,2025,TRUE,base,1693.229,-1924.219,214901.045,-72713.717,157266.179,44470.585,29246.199,186512.379,263710,74010
2031,2024-08,NSW,4h,2025,TRUE,base,1636.167,-1864.06,178264.596,-74924.151,117736.854,34757.854,18105.798,135842.654,263710,74010
2032,2024-08,NSW,4h,2025,TRUE,base,1629.543,-1855.679,200332.891,-87119.163,129559.174,44112.468,16724.135,146283.311,263710,74010
2033,2024-08,NSW,4h,2025,TRUE,base,1602.723,-1823.604,204962.071,-88654.825,131790.295,42631.729,17722.193,149512.489,263710,74010
2034,2024-08,NSW,4h,2025,TRUE,base,1597.137,-1814.589,223279.191,-91791.472,146352.187,46930.824,24651.615,171003.802,263710,74010
2035,2024-08,NSW,4h,2025,TRUE,base,1567.734,-1781.508,220845.625,-88014.353,148035.531,49098.803,23121.644,171157.177,263710,74010
2036,2024-08,NSW,4h,2025,TRUE,base,1566.468,-1779.336,262488.218,-89348.522,184924.471,70106.221,43091.881,228016.352,263710,74010
2037,2024-08,NSW,4h,2025,TRUE,base,1536.783,-1744.361,260557.122,-86139.941,186476.817,71866.207,43786.411,230263.229,263710,74010
2038,2024-08,NSW,4h,2025,TRUE,base,1514.673,-1719.394,263253.445,-85201.591,190817.463,77175.898,45307.907,236125.368,263710,74010
2039,2024-08,NSW,4h,2025,TRUE,base,1491.807,-1693.788,261024.575,-87731.558,187253.414,78524.471,44011.194,231264.606,263710,74010
2040,2024-08,NSW,4h,2025,TRUE,base,1474.197,-1674.584,263942.047,-91908.864,186192.935,80831.03,45380.746,231573.681,263710,74010
2041,2024-08,NSW,4h,2025,TRUE,base,1441.731,-1637.384,238358.54,-90403.42,161511.778,58624.878,44536.517,206048.294,263710,74010
2042,2024-08,NSW,4h,2025,TRUE,base,1424.671,-1619.721,237432.773,-82815.283,167147.974,61866.216,45682.237,212830.211,263710,74010
2043,2024-08,NSW,4h,2025,TRUE,base,1404.531,-1594.533,235103.542,-79873.576,167114.818,62359.244,47451.482,214566.301,263710,74010
2044,2024-08,NSW,4h,2025,TRUE,base,1382.825,-1570.049,236125.916,-79195.542,167472.569,64697.813,49175.776,216648.349,263710,74010
2045,2024-08,NSW,4h,2025,TRUE,base,1826.75,-2076.68,300822.379,-103694.654,209619.887,81430.015,54570.864,264190.751,263710,74010
2046,2024-08,NSW,4h,2025,TRUE,base,1827.417,-2075.371,300762.748,-105664.19,208689.002,78163.22,53713.717,262402.719,263710,74010
2047,2024-08,NSW,4h,2025,TRUE,base,1786.643,-2029.017,294884.394,-102431.103,205828.207,77544.385,53104.27,258932.478,263710,74010
2048,2024-08,NSW,4h,2025,TRUE,base,1764.518,-2005.52,287818.178,-104648.915,196780.236,75417.335,52136.488,248916.728,263710,74010
2049,2024-08,NSW,4h,2025,TRUE,base,1732.376,-1967.092,291543.595,-102349.391,203413.684,81242.463,50698.781,254112.465,263710,74010
2050,2024-08,NSW,4h,2025,TRUE,base,1699.479,-1930.754,274787.44,-97530.854,191109.938,74263.637,50645.162,241755.101,263710,74010
2051,2024-08,NSW,4h,2025,TRUE,base,1676.715,-1904.813,277816.402,-97129.304,195200.386,79914.801,51549.933,246750.316,263710,74010
2052,2024-08,NSW,4h,2025,TRUE,base,1658.504,-1885.238,271164.557,-92813.381,192132.474,76668.411,53066.158,245198.629,263710,74010
2053,2024-08,NSW,4h,2025,TRUE,base,1627.988,-1849.258,266232.811,-94427.915,185965.383,73420.622,51020.71,236986.095,263710,74010
2054,2024-08,NSW,4h,2025,TRUE,base,1601.9,-1819.425,262938.564,-94716.66,181925.985,71038.721,50395.026,232321.014,263710,74010
2055,2024-08,NSW,4h,2025,TRUE,base,1578.045,-1792.507,262051.431,-95182.081,181895.903,73099.619,51307.507,233203.409,263710,74010
2056,2024-08,NSW,4h,2025,TRUE,base,1560.745,-1774.709,256269.671,-91448.406,179413.149,72014.504,51196.132,230609.276,263710,74010
2057,2024-08,NSW,4h,2025,TRUE,base,1533.175,-1741.395,258389.281,-92765.386,180217.435,73615.262,50050.605,230268.04,263710,74010
2058,2024-08,NSW,4h,2025,TRUE,base,1510.07,-1715.09,255813.355,-91591.466,178351.828,74793.329,48220.229,226572.059,263710,74010
2059,2024-08,NSW,4h,2025,TRUE,base,1485.614,-1687.65,247348.149,-90797.446,172169.778,70237.431,46818.588,218988.368,263710,74010
2060,2024-08,NSW,4h,2025,TRUE,base,1463.384,-1662.884,241390.93,-90668.743,167232.214,69355.264,47792.182,215024.392,263710,74010
2025,2024-08,QLD,1h,2025,TRUE,base,454.61,-517.539,99357.751,-11047.928,106815.376,69987.93,49698.751,156514.127,230625,56000
2026,2024-08,QLD,1h,2025,TRUE,base,445.966,-507.798,114107.914,-9038.004,111977.213,65937.818,15255.689,127232.902,230625,56000
2027,2024-08,QLD,1h,2025,TRUE,base,436.453,-496.962,114331.896,-4037.093,116900.841,70473.701,13435.312,130336.151,230625,56000
2028,2024-08,QLD,1h,2025,TRUE,base,430.897,-491.171,116234.687,-7587.336,113643.355,71242.499,12411.206,126054.562,230625,56000
2029,2024-08,QLD,1h,2025,TRUE,base,426.502,-485.202,120100.006,-4252.414,121120.103,77585.429,15840.318,136960.422,230625,56000
2030,2024-08,QLD,1h,2025,TRUE,base,420.099,-477.885,119694.151,-5001.546,119878.729,78944.91,14235.829,134114.558,230625,56000
2031,2024-08,QLD,1h,2025,TRUE,base,408.957,-465.967,105403.632,-8235.843,101908.696,65574.982,9990.644,111899.341,230625,56000
2032,2024-08,QLD,1h,2025,TRUE,base,407.355,-463.555,91852.196,-13129.038,83621.952,52130.334,9161.162,92783.112,230625,56000
2033,2024-08,QLD,1h,2025,TRUE,base,396.984,-453.15,93890.433,-14911.821,84354.757,54179.125,10224.721,94579.479,230625,56000
2034,2024-08,QLD,1h,2025,TRUE,base,397.567,-452.398,102105.093,-17453.063,91109.053,57870.4,13041.867,104150.919,230625,56000
2035,2024-08,QLD,1h,2025,TRUE,base,388.228,-441.728,103010.697,-16769.773,92075.149,60643.746,12122.278,104197.43,230625,56000
2036,2024-08,QLD,1h,2025,TRUE,base,383.283,-436.489,125758.376,-19384.274,112446.543,80752.081,21730.388,134176.931,230625,56000
2037,2024-08,QLD,1h,2025,TRUE,base,374.235,-426.726,113765.347,-17709.915,102105.552,70860.299,23226.563,125332.117,230625,56000
2038,2024-08,QLD,1h,2025,TRUE,base,368.705,-420.136,116715.589,-16681.061,106084.072,74715.481,23301.902,129385.975,230625,56000
2039,2024-08,QLD,1h,2025,TRUE,base,361.706,-412.616,106811.278,-17174.928,95698.078,66247.937,22991.777,118689.857,230625,56000
2040,2024-08,QLD,1h,2025,TRUE,base,355.361,-405.231,106418.018,-17358.008,95649.261,65398.349,22407.824,118057.088,230625,56000
2041,2024-08,QLD,1h,2025,TRUE,base,350.622,-399.534,103647.143,-16826.908,93440.858,64633.668,22572.274,116013.131,230625,56000
2042,2024-08,QLD,1h,2025,TRUE,base,348.109,-396.48,107580.715,-15043.296,99004.863,69227.251,22507.892,121512.755,230625,56000
2043,2024-08,QLD,1h,2025,TRUE,base,340.611,-388.305,97732.052,-13681.475,91336.089,62240.956,23188.944,114525.034,230625,56000
2044,2024-08,QLD,1h,2025,TRUE,base,335.726,-382.462,81488.079,-13504.279,75120.936,45994.747,23835.092,98956.029,230625,56000
2045,2024-08,QLD,1h,2025,TRUE,base,446.395,-508.168,104363.717,-17421.367,94475.705,57211.171,25797.035,120272.742,230625,56000
2046,2024-08,QLD,1h,2025,TRUE,base,447.357,-509.591,104623.013,-16740.535,94722.978,56191.833,25907.115,120630.091,230625,56000
2047,2024-08,QLD,1h,2025,TRUE,base,440.167,-500.994,100579.08,-16799.679,91403.382,53100.152,25438.968,116842.351,230625,56000
2048,2024-08,QLD,1h,2025,TRUE,base,431.099,-490.755,93314.823,-16019.709,84086.67,46165.596,24395.266,108481.939,230625,56000
2049,2024-08,QLD,1h,2025,TRUE,base,425.953,-484.971,90155.389,-15205.738,82140.956,44973.342,23735.301,105876.258,230625,56000
2050,2024-08,QLD,1h,2025,TRUE,base,416.706,-475.616,109341.861,-16548.12,100250.318,63940.671,25322.362,125572.679,230625,56000
2051,2024-08,QLD,1h,2025,TRUE,base,409.975,-467.237,108937.419,-17159.484,99512.487,63420.255,24351.389,123863.877,230625,56000
2052,2024-08,QLD,1h,2025,TRUE,base,401.203,-457.177,99386.544,-18243.064,88663,54440.837,24622.302,113285.302,230625,56000
2053,2024-08,QLD,1h,2025,TRUE,base,397.341,-452.685,103741.841,-15093.904,97535.671,61727.511,24825.826,122361.497,230625,56000
2054,2024-08,QLD,1h,2025,TRUE,base,391.193,-445.92,106607.169,-14940.795,99295.198,63526.127,24588.946,123884.144,230625,56000
2055,2024-08,QLD,1h,2025,TRUE,base,384.627,-438.321,95706.276,-16586.179,87963.582,53895.503,25224.63,113188.212,230625,56000
2056,2024-08,QLD,1h,2025,TRUE,base,377.302,-430.013,99806.798,-14911.412,93221.08,58181.58,24549.951,117771.03,230625,56000
2057,2024-08,QLD,1h,2025,TRUE,base,370.754,-422.553,105727.508,-14454.384,99790.364,64798.898,24053.081,123843.441,230625,56000
2058,2024-08,QLD,1h,2025,TRUE,base,369.038,-420.447,102561.949,-15659.787,94497.516,62753.762,23782.822,118280.334,230625,56000
2059,2024-08,QLD,1h,2025,TRUE,base,360.885,-411.15,102299.141,-14022.829,97337.197,63634.437,23385.014,120722.212,230625,56000
2060,2024-08,QLD,1h,2025,TRUE,base,355.488,-405.278,105990.545,-15333.483,99662.299,67983.857,24310.761,123973.06,230625,56000
2025,2024-08,QLD,2h,2025,TRUE,base,917.902,-1043.717,142550.288,-26052.899,145517.944,72675.86,65045.602,210563.547,247596,69612
2026,2024-08,QLD,2h,2025,TRUE,base,892.449,-1016.159,161550.855,-20986.943,149742.778,66012.232,19707.018,169449.796,247596,69612
2027,2024-08,QLD,2h,2025,TRUE,base,872.342,-993.505,158431.111,-8867.851,156906.517,70796.13,17547.664,174454.182,247596,69612
2028,2024-08,QLD,2h,2025,TRUE,base,864.445,-985.788,160358.106,-15015.305,151051.075,72115.884,16441.162,167492.237,247596,69612
2029,2024-08,QLD,2h,2025,TRUE,base,854.599,-972.197,162587.288,-8984.454,159327.971,79004.779,20662.709,179990.68,247596,69612
2030,2024-08,QLD,2h,2025,TRUE,base,842.898,-958.834,160103.006,-9738.943,155342.461,79463.015,18622.086,173964.548,247596,69612
2031,2024-08,QLD,2h,2025,TRUE,base,815.675,-929.548,144838.251,-16237.946,134931.174,68148.364,12346.347,147277.519,247596,69612
2032,2024-08,QLD,2h,2025,TRUE,base,811.344,-924.204,129706.459,-28194.37,108630.652,52376.614,11372.062,120002.71,247596,69612
2033,2024-08,QLD,2h,2025,TRUE,base,795.864,-907.85,134540.042,-30811.47,111036.816,56248.672,12605.293,123642.111,247596,69612
2034,2024-08,QLD,2h,2025,TRUE,base,789.385,-898.245,148251.763,-35371.458,121017.242,59569.648,16793.884,137811.125,247596,69612
2035,2024-08,QLD,2h,2025,TRUE,base,778.123,-885.312,149120.124,-33638.806,123170.984,64935.567,15703.118,138874.103,247596,69612
2036,2024-08,QLD,2h,2025,TRUE,base,774.84,-880.79,174027.114,-37254.361,144373.777,82559.355,29575.446,173949.221,247596,69612
2037,2024-08,QLD,2h,2025,TRUE,base,754.305,-858.363,169254.441,-35298.851,141032.364,80867.609,30568.263,171600.627,247596,69612
2038,2024-08,QLD,2h,2025,TRUE,base,746.459,-849.025,170734.133,-34238.279,143886.671,83889.402,31221.666,175108.336,247596,69612
2039,2024-08,QLD,2h,2025,TRUE,base,735.3,-837.75,154525.492,-35170.862,127569.434,71200.537,30911.557,158480.989,247596,69612
2040,2024-08,QLD,2h,2025,TRUE,base,725.842,-826.827,158304.767,-36523.285,130023.72,72505.49,30821.582,160845.307,247596,69612
2041,2024-08,QLD,2h,2025,TRUE,base,712.968,-811.045,153781.277,-33512.59,128358.42,71980.558,30483.157,158841.578,247596,69612
2042,2024-08,QLD,2h,2025,TRUE,base,701.161,-797.461,151944.453,-30504.697,128857.768,72065.457,30840.508,159698.276,247596,69612
2043,2024-08,QLD,2h,2025,TRUE,base,694.12,-790.476,141961.446,-27917.491,120938.46,64492.975,32003.784,152942.244,247596,69612
2044,2024-08,QLD,2h,2025,TRUE,base,684.069,-777.558,133602.963,-28065.679,114103.34,57435.38,32850.751,146954.089,247596,69612
2045,2024-08,QLD,2h,2025,TRUE,base,901.992,-1025.468,155872.795,-36689.031,128668.139,57569.591,36126.209,164794.349,247596,69612
2046,2024-08,QLD,2h,2025,TRUE,base,904.352,-1028.429,157506.796,-35981.7,130168.472,57053.726,36371.295,166539.766,247596,69612
2047,2024-08,QLD,2h,2025,TRUE,base,885.68,-1006.938,152678.511,-35013.933,126586.016,53739.049,35455.832,162041.85,247596,69612
2048,2024-08,QLD,2h,2025,TRUE,base,875.983,-995.596,145672.769,-34106.92,120923.938,49126.613,34803.584,155727.521,247596,69612
2049,2024-08,QLD,2h,2025,TRUE,base,857.896,-975.625,138915.794,-32316.597,115540.857,45404.147,33726.612,149267.466,247596,69612
2050,2024-08,QLD,2h,2025,TRUE,base,840.502,-958.032,160689.701,-35131.7,134078.945,64979.627,34785.327,168864.274,247596,69612
2051,2024-08,QLD,2h,2025,TRUE,base,827.219,-941.328,158265.263,-34693.135,133770.721,64272.608,34386.18,168156.902,247596,69612
2052,2024-08,QLD,2h,2025,TRUE,base,820.469,-933.74,148583.093,-36744.062,122180.33,55484.577,35447.229,157627.558,247596,69612
2053,2024-08,QLD,2h,2025,TRUE,base,804.597,-915.159,153759.322,-31626.378,132081.665,62640.567,34639.729,166721.397,247596,69612
2054,2024-08,QLD,2h,2025,TRUE,base,792.989,-903.51,157360.009,-32781.547,134445.571,66196.476,34255.861,168701.433,247596,69612
2055,2024-08,QLD,2h,2025,TRUE,base,777.222,-884.304,149318.024,-33387.178,126681.417,60708.458,34926.02,161607.436,247596,69612
2056,2024-08,QLD,2h,2025,TRUE,base,770.284,-876.516,149509.331,-30886.192,128961.83,61451.094,34636.883,163598.713,247596,69612
2057,2024-08,QLD,2h,2025,TRUE,base,754.064,-858.118,153772.202,-31958.495,132794.426,66152.695,33838.272,166632.695,247596,69612
2058,2024-08,QLD,2h,2025,TRUE,base,744.122,-846.67,150211.109,-33059.363,127174.21,65220.124,32675.645,159849.855,247596,69612
2059,2024-08,QLD,2h,2025,TRUE,base,731.543,-832.441,152321.53,-29875.686,133127.718,68792.61,32116.975,165244.694,247596,69612
2060,2024-08,QLD,2h,2025,TRUE,base,723.616,-823.402,151319.891,-31680.022,130745.831,69458.77,33080.323,163826.154,247596,69612
2025,2024-08,QLD,4h,2025,TRUE,base,1806.865,-2058.177,227124.446,-64777.24,206770.631,72607.622,81395.43,288166.059,263710,74010
2026,2024-08,QLD,4h,2025,TRUE,base,1756.307,-2003.865,248086.023,-50265.605,212657.751,65887.287,26253.982,238911.732,263710,74010
2027,2024-08,QLD,4h,2025,TRUE,base,1716.481,-1959.402,237578.581,-23912.806,223352.227,70763.146,23955.583,247307.811,263710,74010
2028,2024-08,QLD,4h,2025,TRUE,base,1696.9,-1938.455,236284.121,-33072.069,212183.028,72039.748,23223.781,235406.808,263710,74010
2029,2024-08,QLD,4h,2025,TRUE,base,1683.423,-1917.987,235120.176,-21759.189,220864.987,78803.191,29146.293,250011.278,263710,74010
2030,2024-08,QLD,4h,2025,TRUE,base,1656.299,-1887.468,228541.742,-23893.856,211920.054,79304.816,26105.107,238025.159,263710,74010
2031,2024-08,QLD,4h,2025,TRUE,base,1593.149,-1820.917,210536.541,-36230.576,182974.455,68084.15,16426.979,199401.431,263710,74010
2032,2024-08,QLD,4h,2025,TRUE,base,1593.161,-1819.729,195841.319,-61361.382,145905.803,52219.418,15687.962,161593.762,263710,74010
2033,2024-08,QLD,4h,2025,TRUE,base,1559.315,-1782.173,201423.089,-66403.121,146989.419,56203.714,16831.848,163821.27,263710,74010
2034,2024-08,QLD,4h,2025,TRUE,base,1556.938,-1774.578,227567.051,-75339.748,164695.253,59401.55,23166.509,187861.761,263710,74010
2035,2024-08,QLD,4h,2025,TRUE,base,1529.225,-1743.409,223517.674,-69058.115,166000.612,65058.986,21743.164,187743.779,263710,74010
2036,2024-08,QLD,4h,2025,TRUE,base,1550.338,-1762.962,260221.567,-78319.092,193403.98,82846.096,41727.891,235131.87,263710,74010
2037,2024-08,QLD,4h,2025,TRUE,base,1513.802,-1722.104,251983.752,-74478.32,189108.042,81131.129,42980.761,232088.803,263710,74010
