fy_year,vintage,region,value
2060,2024-11,QLD,7.6
2025,2024-11,SA,9.01
2026,2024-11,SA,6.03
2027,2024-11,SA,7.93
2028,2024-11,SA,5.23
2029,2024-11,SA,5.17
2030,2024-11,SA,4.97
2031,2024-11,SA,5.84
2032,2024-11,SA,6.02
2033,2024-11,SA,6.64
2034,2024-11,SA,6.57
2035,2024-11,SA,6.57
2036,2024-11,SA,8.02
2037,2024-11,SA,8.34
2038,2024-11,SA,8.91
2039,2024-11,SA,8.65
2040,2024-11,SA,9.67
2041,2024-11,SA,8.85
2042,2024-11,SA,6.28
2043,2024-11,SA,6.09
2044,2024-11,SA,7.82
2045,2024-11,SA,6.39
2046,2024-11,SA,6.2
2047,2024-11,SA,6.5
2048,2024-11,SA,9.8
2049,2024-11,SA,8.57
2050,2024-11,SA,7.78
2051,2024-11,SA,8.06
2052,2024-11,SA,9.49
2053,2024-11,SA,8.02
2054,2024-11,SA,8.27
2055,2024-11,SA,8.91
2056,2024-11,SA,9.48
2057,2024-11,SA,8.89
2058,2024-11,SA,9.72
2059,2024-11,SA,9.28
2060,2024-11,SA,10.07
2025,2024-11,TAS,2.37
2026,2024-11,TAS,2.38
2027,2024-11,TAS,2.29
2028,2024-11,TAS,2.48
2029,2024-11,TAS,2.73
2030,2024-11,TAS,2.51
2031,2024-11,TAS,2.49
2032,2024-11,TAS,2.19
2033,2024-11,TAS,2.24
2034,2024-11,TAS,2.08
2035,2024-11,TAS,2.11
2036,2024-11,TAS,1.99
2037,2024-11,TAS,2.22
2038,2024-11,TAS,2.2
2039,2024-11,TAS,2.21
2040,2024-11,TAS,1.97
2041,2024-11,TAS,2.04
2042,2024-11,TAS,2.04
2043,2024-11,TAS,2.04
2044,2024-11,TAS,1.94
2045,2024-11,TAS,2.01
2046,2024-11,TAS,2.02
2047,2024-11,TAS,1.87
2048,2024-11,TAS,2.21
2049,2024-11,TAS,2.25
2050,2024-11,TAS,2.2
2051,2024-11,TAS,2.23
2052,2024-11,TAS,2.04
2053,2024-11,TAS,2.14
2054,2024-11,TAS,2.2
2055,2024-11,TAS,2.21
2056,2024-11,TAS,2.17
2057,2024-11,TAS,2.18
2058,2024-11,TAS,2.15
2059,2024-11,TAS,2.22
2060,2024-11,TAS,2.12
2025,2024-11,VIC,6.26
2026,2024-11,VIC,5.35
2027,2024-11,VIC,4.02
2028,2024-11,VIC,3.85
2029,2024-11,VIC,4.35
2030,2024-11,VIC,2.91
2031,2024-11,VIC,2.6
2032,2024-11,VIC,2.9
2033,2024-11,VIC,2.26
2034,2024-11,VIC,2.16
2035,2024-11,VIC,2.58
2036,2024-11,VIC,8.58
2037,2024-11,VIC,8.6
2038,2024-11,VIC,8.78
2039,2024-11,VIC,7.8
2040,2024-11,VIC,11.83
2041,2024-11,VIC,11.06
2042,2024-11,VIC,12.68
2043,2024-11,VIC,11.63
2044,2024-11,VIC,11.34
2045,2024-11,VIC,8.6
2046,2024-11,VIC,8.84
2047,2024-11,VIC,9.07
2048,2024-11,VIC,8.21
2049,2024-11,VIC,8.86
2050,2024-11,VIC,7.81
2051,2024-11,VIC,7.75
2052,2024-11,VIC,7.6
2053,2024-11,VIC,7.79
2054,2024-11,VIC,7.85
2055,2024-11,VIC,8.26
2056,2024-11,VIC,7.94
2057,2024-11,VIC,8.46
2058,2024-11,VIC,8.44
2059,2024-11,VIC,8.49
2060,2024-11,VIC,8.4
2026,2025-10,NSW,14.6511107687895
2027,2025-10,NSW,8.06725201278645
2028,2025-10,NSW,7.74220736800604
2029,2025-10,NSW,8.38317159854895
2030,2025-10,NSW,8.54998636756101
2031,2025-10,NSW,5.42980129069519
2032,2025-10,NSW,5.88468017791897
2033,2025-10,NSW,7.20941115953967
2034,2025-10,NSW,6.99975546800096
2035,2025-10,NSW,7.22867795512427
2036,2025-10,NSW,7.54980267885243
2037,2025-10,NSW,8.17065773982377
2038,2025-10,NSW,8.81727177433172
2039,2025-10,NSW,9.3265849759336
2040,2025-10,NSW,10.0909690076438
2041,2025-10,NSW,10.1003883369553
2042,2025-10,NSW,9.65806271371398
2043,2025-10,NSW,9.49308356986347
2044,2025-10,NSW,9.70896459407646
2045,2025-10,NSW,9.43481928192544
2046,2025-10,NSW,9.59098189247537
2047,2025-10,NSW,9.51142486174868
2048,2025-10,NSW,9.62622016474175
2049,2025-10,NSW,9.32304168836258
2050,2025-10,NSW,9.21049341883043
2051,2025-10,NSW,8.98890922733566
2052,2025-10,NSW,8.85906796114394
2053,2025-10,NSW,8.64044426087548
2054,2025-10,NSW,9.22629839717802
2055,2025-10,NSW,9.20394245448862
2056,2025-10,NSW,9.38660702252335
2057,2025-10,NSW,9.17277635212256
2058,2025-10,NSW,9.10188083725984
2059,2025-10,NSW,9.10510637666531
2060,2025-10,NSW,9.39733612270497
2026,2025-10,QLD,7.50578328104752
2027,2025-10,QLD,7.25959495449567
2028,2025-10,QLD,7.06185552489768
2029,2025-10,QLD,7.97737692005235
2030,2025-10,QLD,8.10768115690854
2031,2025-10,QLD,8.08248996302706
2032,2025-10,QLD,9.41143695899336
2033,2025-10,QLD,9.47597498734859
2034,2025-10,QLD,9.74270993108423
2035,2025-10,QLD,9.67569312542237
2036,2025-10,QLD,6.46995555786386
2037,2025-10,QLD,6.93444055187928
2038,2025-10,QLD,7.11935455583592
2039,2025-10,QLD,7.70509111841682
2040,2025-10,QLD,7.802722092825
2041,2025-10,QLD,7.11780508999352
2042,2025-10,QLD,6.79966168610989
2043,2025-10,QLD,6.68642019129042
2044,2025-10,QLD,6.89947789325731
2045,2025-10,QLD,5.99710794659979
2046,2025-10,QLD,6.00394867189991
2047,2025-10,QLD,5.91027234363318
2048,2025-10,QLD,5.43774955633926
2049,2025-10,QLD,5.63496176360023
2050,2025-10,QLD,5.52040480953571
2051,2025-10,QLD,5.6808746362302
2052,2025-10,QLD,5.64030942685367
2053,2025-10,QLD,5.75704440262159
2054,2025-10,QLD,5.94400351093801
2055,2025-10,QLD,5.87849662542438
2056,2025-10,QLD,5.92826267892135
2057,2025-10,QLD,6.17140738437991
2058,2025-10,QLD,5.93032900229984
2059,2025-10,QLD,5.69846811521257
2060,2025-10,QLD,5.99525704797407
2026,2025-10,SA,14.1891097735767
2027,2025-10,SA,12.7022229029113
2028,2025-10,SA,6.87169184979955
2029,2025-10,SA,8.76580645778424
2030,2025-10,SA,8.6757400746227
2031,2025-10,SA,8.67028219670944
2032,2025-10,SA,8.90990507673369
2033,2025-10,SA,9.1440621018667
2034,2025-10,SA,8.94832891814856
2035,2025-10,SA,8.89670629740749
2036,2025-10,SA,8.25162452105449
2037,2025-10,SA,7.82186377760735
2038,2025-10,SA,7.86920452966342
2039,2025-10,SA,7.91983857796861
2040,2025-10,SA,7.36979971277365
2041,2025-10,SA,7.66557122714593
2042,2025-10,SA,7.79412477511939
2043,2025-10,SA,7.24284223212961
2044,2025-10,SA,6.9683828916321
2045,2025-10,SA,6.79255980326793
2046,2025-10,SA,6.75469426659063
2047,2025-10,SA,6.49185405176248
2048,2025-10,SA,6.31927039588175
2049,2025-10,SA,6.70954076747532
2050,2025-10,SA,5.75421009699277
2051,2025-10,SA,5.70929154266724
2052,2025-10,SA,6.29272731460209
2053,2025-10,SA,5.82155896469426
2054,2025-10,SA,5.9010259828559
2055,2025-10,SA,5.97759925848748
2056,2025-10,SA,6.38715169509755
2057,2025-10,SA,6.2836544124833
2058,2025-10,SA,7.17657369537314
2059,2025-10,SA,7.20495303004834
2060,2025-10,SA,7.44340488888044
2026,2025-10,VIC,6.51903438443042
2027,2025-10,VIC,4.95717299749736
2028,2025-10,VIC,3.96882873577635
2029,2025-10,VIC,4.23108570498868
2030,2025-10,VIC,3.86896143807779
2031,2025-10,VIC,3.77569974381953
2032,2025-10,VIC,3.94860641815537
2033,2025-10,VIC,3.32808504924611
2034,2025-10,VIC,3.70228383359597
2035,2025-10,VIC,3.77019000284121
2036,2025-10,VIC,5.66482234517591
2037,2025-10,VIC,6.36906475141742
2038,2025-10,VIC,7.80047905302624
2039,2025-10,VIC,7.81293666026308
2040,2025-10,VIC,9.84667023720523
2041,2025-10,VIC,9.64024766755467
2042,2025-10,VIC,9.23234096062084
2043,2025-10,VIC,9.99268622653129
2044,2025-10,VIC,10.6978389699606
2045,2025-10,VIC,10.1986875931147
2046,2025-10,VIC,10.7641722724025
2047,2025-10,VIC,10.3832933344341
2048,2025-10,VIC,10.6237804325335
2049,2025-10,VIC,10.3686335678815
2050,2025-10,VIC,10.3079038852704
2051,2025-10,VIC,10.3422144063471
2052,2025-10,VIC,10.8356807392741
2053,2025-10,VIC,10.4421627633346
2054,2025-10,VIC,10.6660030807171
2055,2025-10,VIC,10.7444899258312
2056,2025-10,VIC,10.9198274598178
2057,2025-10,VIC,10.8726753604843
2058,2025-10,VIC,10.8544232433607
2059,2025-10,VIC,11.0281735112331
2060,2025-10,VIC,12.2577811991363
2026,2025-10,TAS,2.61655298984223
2027,2025-10,TAS,2.53963254893611
2028,2025-10,TAS,2.53801713103354
2029,2025-10,TAS,2.11219539076095
2030,2025-10,TAS,1.96521186870255
2031,2025-10,TAS,1.84089108433206
2032,2025-10,TAS,1.82304084721876
2033,2025-10,TAS,1.60685049441254
2034,2025-10,TAS,1.69879114783458
2035,2025-10,TAS,1.48557771036291
2036,2025-10,TAS,1.79394793275049
2037,2025-10,TAS,1.54535306451237
2038,2025-10,TAS,1.60754888253914
2039,2025-10,TAS,1.61114631085579
2040,2025-10,TAS,1.69113970519904
2041,2025-10,TAS,2.00284151280512
2042,2025-10,TAS,2.15899751005754
2043,2025-10,TAS,2.05298492182364
2044,2025-10,TAS,2.0268564777005
2045,2025-10,TAS,2.41113912098275
2046,2025-10,TAS,2.40556694832743
2047,2025-10,TAS,2.30839513791447
2048,2025-10,TAS,2.24742974608894
2049,2025-10,TAS,2.346868866254
2050,2025-10,TAS,2.27884447766651
2051,2025-10,TAS,2.32949310823948
2052,2025-10,TAS,2.08358843120156
2053,2025-10,TAS,2.1671924187597
2054,2025-10,TAS,2.51257832217646
2055,2025-10,TAS,2.55778953806897
2056,2025-10,TAS,2.23856532625228
2057,2025-10,TAS,2.51041857522242
2058,2025-10,TAS,2.32787930561003
2059,2025-10,TAS,2.32666613651854
2060,2025-10,TAS,2.07036178407147
2027,2026-Q1,NSW,8.76174802628989
2028,2026-Q1,NSW,8.29375375570214
2029,2026-Q1,NSW,8.60197898602434
2030,2026-Q1,NSW,8.49229133030411
2031,2026-Q1,NSW,5.31896592977043
2032,2026-Q1,NSW,5.96201473961519
2033,2026-Q1,NSW,6.764621480624
2034,2026-Q1,NSW,7.65731671961638
2035,2026-Q1,NSW,8.13692045408018
2036,2026-Q1,NSW,8.11299965559339
2037,2026-Q1,NSW,8.80465002844638
2038,2026-Q1,NSW,9.61246049809844
2039,2026-Q1,NSW,10.9908490522836
2040,2026-Q1,NSW,10.2359481568677
2041,2026-Q1,NSW,10.7093242921166
2042,2026-Q1,NSW,10.5704072717538
2043,2026-Q1,NSW,9.21834240818061
2044,2026-Q1,NSW,10.1449654222114
2045,2026-Q1,NSW,9.22487122230199
2046,2026-Q1,NSW,9.66569673432077
2047,2026-Q1,NSW,10.1287445964063
2048,2026-Q1,NSW,9.76354834636097
2049,2026-Q1,NSW,9.32995357081095
2050,2026-Q1,NSW,9.21710966459269
2051,2026-Q1,NSW,8.89970840604829
2052,2026-Q1,NSW,9.45208332066567
2053,2026-Q1,NSW,8.78173427456742
2054,2026-Q1,NSW,9.19673456636742
2055,2026-Q1,NSW,9.20167780833659
2056,2026-Q1,NSW,9.34293763714889
2057,2026-Q1,NSW,9.25167106258044
2058,2026-Q1,NSW,9.16458991837636
2059,2026-Q1,NSW,9.29010365590785
2060,2026-Q1,NSW,9.53797666152951
2027,2026-Q1,QLD,6.78293411044974
2028,2026-Q1,QLD,7.06499237245054
2029,2026-Q1,QLD,6.78343904231026
2030,2026-Q1,QLD,7.42307946384471
2031,2026-Q1,QLD,7.84201873965247
2032,2026-Q1,QLD,7.80003691448372
2033,2026-Q1,QLD,8.20619500607349
2034,2026-Q1,QLD,7.50170719751504
2035,2026-Q1,QLD,7.60802269090095
2036,2026-Q1,QLD,7.82131038883283
2037,2026-Q1,QLD,8.62639239965239
2038,2026-Q1,QLD,8.57734543029348
2039,2026-Q1,QLD,8.28475029933877
2040,2026-Q1,QLD,7.65598932632638
2041,2026-Q1,QLD,7.27621035060763
2042,2026-Q1,QLD,7.21860143186421
2043,2026-Q1,QLD,7.0622246908189
2044,2026-Q1,QLD,7.41245131529824
2045,2026-Q1,QLD,6.23091908525687
2046,2026-Q1,QLD,6.37071182377455
2047,2026-Q1,QLD,6.14273634832763
2048,2026-Q1,QLD,5.66200857982055
2049,2026-Q1,QLD,5.93737581361125
2050,2026-Q1,QLD,6.13108531681489
2051,2026-Q1,QLD,5.33741636326597
2052,2026-Q1,QLD,5.26597140705269
2053,2026-Q1,QLD,5.61866155785066
2054,2026-Q1,QLD,5.93322258707431
2055,2026-Q1,QLD,5.68990331590836
2056,2026-Q1,QLD,5.51378353596558
2057,2026-Q1,QLD,6.85885239090012
2058,2026-Q1,QLD,6.66546223268923
2059,2026-Q1,QLD,6.88833006314809
2060,2026-Q1,QLD,6.4592190438418
2027,2026-Q1,SA,13.6300870195079
2028,2026-Q1,SA,6.89139706447516
2029,2026-Q1,SA,8.67813434212642
2030,2026-Q1,SA,8.77980677671851
2031,2026-Q1,SA,8.48806868194812
2032,2026-Q1,SA,8.94913905688996
2033,2026-Q1,SA,8.65578701223822
2034,2026-Q1,SA,8.68689876119864
2035,2026-Q1,SA,8.83333395497841
2036,2026-Q1,SA,9.37353129600645
2037,2026-Q1,SA,8.59530500088708
2038,2026-Q1,SA,8.18379740346711
2039,2026-Q1,SA,8.16534578705149
2040,2026-Q1,SA,7.56325471311005
2041,2026-Q1,SA,8.23087936071251
2042,2026-Q1,SA,7.45461263543285
2043,2026-Q1,SA,7.13371932969009
2044,2026-Q1,SA,6.54665234811366
2045,2026-Q1,SA,6.35732861303449
2046,2026-Q1,SA,6.7395713790232
2047,2026-Q1,SA,6.60603757685832
2048,2026-Q1,SA,6.55901159210768
2049,2026-Q1,SA,6.61347548113128
2050,2026-Q1,SA,6.93179065492379
2051,2026-Q1,SA,5.90938123736344
2052,2026-Q1,SA,6.43602019025133
2053,2026-Q1,SA,5.69541792080429
2054,2026-Q1,SA,5.94994487679351
2055,2026-Q1,SA,6.06217677413494
2056,2026-Q1,SA,6.00198119868453
2057,2026-Q1,SA,6.52153737316332
2058,2026-Q1,SA,6.61817532783361
2059,2026-Q1,SA,6.75257904639255
2060,2026-Q1,SA,6.77320071965636
2027,2026-Q1,VIC,2.41962427730637
2028,2026-Q1,VIC,2.30022020656762
2029,2026-Q1,VIC,2.10467223426232
2030,2026-Q1,VIC,1.84956469256765
2031,2026-Q1,VIC,1.89029129169086
2032,2026-Q1,VIC,1.85905628998602
2033,2026-Q1,VIC,1.57414291629124
2034,2026-Q1,VIC,1.50315184202111
2035,2026-Q1,VIC,1.53836641154663
2036,2026-Q1,VIC,1.62369781948722
2037,2026-Q1,VIC,1.81675047238164
2038,2026-Q1,VIC,1.79425619317748
2039,2026-Q1,VIC,1.84307024227724
2040,2026-Q1,VIC,1.85832592451367
2041,2026-Q1,VIC,1.99287549104671
2042,2026-Q1,VIC,2.25547636013687
2043,2026-Q1,VIC,2.2657822444751
2044,2026-Q1,VIC,2.10906348846672
2045,2026-Q1,VIC,2.32463540448672
2046,2026-Q1,VIC,2.35790281658474
2047,2026-Q1,VIC,2.32429676001081
2048,2026-Q1,VIC,2.37598842866688
2049,2026-Q1,VIC,2.54405352767625
2050,2026-Q1,VIC,2.45842992971295
2051,2026-Q1,VIC,2.43947351986456
2052,2026-Q1,VIC,2.17747170539193
2053,2026-Q1,VIC,2.301632670818
2054,2026-Q1,VIC,2.48699582696008
2055,2026-Q1,VIC,2.53514317664335
2056,2026-Q1,VIC,2.08637885672587
2057,2026-Q1,VIC,2.60239789479069
2058,2026-Q1,VIC,2.50184884160414
2059,2026-Q1,VIC,2.65989119932488
2060,2026-Q1,VIC,2.29224182320551
2027,2026-Q1,TAS,4.96839386612077
2028,2026-Q1,TAS,3.97797729094407
2029,2026-Q1,TAS,4.17815842309392
2030,2026-Q1,TAS,3.86261641760744
2031,2026-Q1,TAS,3.76113627287582
2032,2026-Q1,TAS,3.83267512275105
2033,2026-Q1,TAS,3.28683544827982
2034,2026-Q1,TAS,3.69232316299142
2035,2026-Q1,TAS,3.75692438780134
2036,2026-Q1,TAS,5.51527102250961
2037,2026-Q1,TAS,6.00603899600986
2038,2026-Q1,TAS,7.09445713490061
2039,2026-Q1,TAS,8.19740093888634
2040,2026-Q1,TAS,10.0419509244572
2041,2026-Q1,TAS,10.0696831033525
2042,2026-Q1,TAS,9.34123915295888
2043,2026-Q1,TAS,10.0181726280221
2044,2026-Q1,TAS,10.9316641689391
2045,2026-Q1,TAS,10.553451518694
2046,2026-Q1,TAS,10.352069636351
2047,2026-Q1,TAS,10.6089725048444
2048,2026-Q1,TAS,10.7666069092934
2049,2026-Q1,TAS,10.5291899961169
2050,2026-Q1,TAS,10.5344326809387
2051,2026-Q1,TAS,11.5040147336057
2052,2026-Q1,TAS,10.9584875420226
2053,2026-Q1,TAS,10.4561010733607
2054,2026-Q1,TAS,10.7200111880137
2055,2026-Q1,TAS,10.8504507133019
2056,2026-Q1,TAS,10.9236743857356
2057,2026-Q1,TAS,11.1589330822725
2058,2026-Q1,TAS,11.0704094711902
2059,2026-Q1,TAS,11.3413529370645
2060,2026-Q1,TAS,12.517665973497
