fy_year,vintage,region,value
2058,2024-08,TAS,2.58422694903215
2059,2024-08,TAS,2.61077118087517
2060,2024-08,TAS,2.58938864147019
2025,2024-08,VIC,5.52336116878911
2026,2024-08,VIC,5.77468589832407
2027,2024-08,VIC,4.01880051296847
2028,2024-08,VIC,3.86344624270342
2029,2024-08,VIC,4.94909474123967
2030,2024-08,VIC,3.26662805645485
2031,2024-08,VIC,3.11823763738826
2032,2024-08,VIC,3.04282507774569
2033,2024-08,VIC,2.14587231315798
2034,2024-08,VIC,2.26108106978216
2035,2024-08,VIC,2.26015464899836
2036,2024-08,VIC,7.82125282830778
2037,2024-08,VIC,8.15520036214486
2038,2024-08,VIC,6.89098384028755
2039,2024-08,VIC,6.81440476970115
2040,2024-08,VIC,11.113070233688
2041,2024-08,VIC,9.51380571320493
2042,2024-08,VIC,11.8097512910981
2043,2024-08,VIC,10.7289248343202
2044,2024-08,VIC,11.8597275212779
2045,2024-08,VIC,9.76464744103738
2046,2024-08,VIC,8.70974660725699
2047,2024-08,VIC,9.08743690047332
2048,2024-08,VIC,9.75767210659763
2049,2024-08,VIC,9.92878016747739
2050,2024-08,VIC,8.2795102816255
2051,2024-08,VIC,8.98059973145684
2052,2024-08,VIC,9.49837599187509
2053,2024-08,VIC,9.25688655185271
2054,2024-08,VIC,9.26905142124702
2055,2024-08,VIC,9.27307559712793
2056,2024-08,VIC,9.82109732584986
2057,2024-08,VIC,9.54019415491358
2058,2024-08,VIC,10.2847335978853
2059,2024-08,VIC,10.3382844593577
2060,2024-08,VIC,10.2126065601159
2025,2025-01,NSW,8.05
2026,2025-01,NSW,11.24
2027,2025-01,NSW,5.83
2028,2025-01,NSW,5.67
2029,2025-01,NSW,7.11
2030,2025-01,NSW,5.18
2031,2025-01,NSW,4.29
2032,2025-01,NSW,4.86
2033,2025-01,NSW,5.32
2034,2025-01,NSW,5.21
2035,2025-01,NSW,5.71
2036,2025-01,NSW,7.75
2037,2025-01,NSW,8.71
2038,2025-01,NSW,9.0
2039,2025-01,NSW,9.16
2040,2025-01,NSW,9.06
2041,2025-01,NSW,6.83
2042,2025-01,NSW,7.03
2043,2025-01,NSW,7.13
2044,2025-01,NSW,7.81
2045,2025-01,NSW,8.37
2046,2025-01,NSW,8.14
2047,2025-01,NSW,7.99
2048,2025-01,NSW,8.48
2049,2025-01,NSW,8.62
2050,2025-01,NSW,8.11
2051,2025-01,NSW,8.33
2052,2025-01,NSW,8.37
2053,2025-01,NSW,8.37
2054,2025-01,NSW,8.36
