fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2030,2024-08,QLD,1h,2025,True,base,-5001.546
2031,2024-08,QLD,1h,2025,True,base,-8235.843
2032,2024-08,QLD,1h,2025,True,base,-13129.038
2033,2024-08,QLD,1h,2025,True,base,-14911.821
2034,2024-08,QLD,1h,2025,True,base,-17453.063
2035,2024-08,QLD,1h,2025,True,base,-16769.773
2036,2024-08,QLD,1h,2025,True,base,-19384.274
2037,2024-08,QLD,1h,2025,True,base,-17709.915
2038,2024-08,QLD,1h,2025,True,base,-16681.061
2039,2024-08,QLD,1h,2025,True,base,-17174.928
2040,2024-08,QLD,1h,2025,True,base,-17358.008
2041,2024-08,QLD,1h,2025,True,base,-16826.908
2042,2024-08,QLD,1h,2025,True,base,-15043.296
2043,2024-08,QLD,1h,2025,True,base,-13681.475
2044,2024-08,QLD,1h,2025,True,base,-13504.279
2045,2024-08,QLD,1h,2025,True,base,-17421.367
2046,2024-08,QLD,1h,2025,True,base,-16740.535
2047,2024-08,QLD,1h,2025,True,base,-16799.679
2048,2024-08,QLD,1h,2025,True,base,-16019.709
2049,2024-08,QLD,1h,2025,True,base,-15205.738
2050,2024-08,QLD,1h,2025,True,base,-16548.12
2051,2024-08,QLD,1h,2025,True,base,-17159.484
2052,2024-08,QLD,1h,2025,True,base,-18243.064
2053,2024-08,QLD,1h,2025,True,base,-15093.904
2054,2024-08,QLD,1h,2025,True,base,-14940.795
2055,2024-08,QLD,1h,2025,True,base,-16586.179
2056,2024-08,QLD,1h,2025,True,base,-14911.412
2057,2024-08,QLD,1h,2025,True,base,-14454.384
2058,2024-08,QLD,1h,2025,True,base,-15659.787
2059,2024-08,QLD,1h,2025,True,base,-14022.829
2060,2024-08,QLD,1h,2025,True,base,-15333.483
2025,2024-08,QLD,2h,2025,True,base,-26052.899
2026,2024-08,QLD,2h,2025,True,base,-20986.943
2027,2024-08,QLD,2h,2025,True,base,-8867.851
2028,2024-08,QLD,2h,2025,True,base,-15015.305
2029,2024-08,QLD,2h,2025,True,base,-8984.454
2030,2024-08,QLD,2h,2025,True,base,-9738.943
2031,2024-08,QLD,2h,2025,True,base,-16237.946
2032,2024-08,QLD,2h,2025,True,base,-28194.37
2033,2024-08,QLD,2h,2025,True,base,-30811.47
2034,2024-08,QLD,2h,2025,True,base,-35371.458
2035,2024-08,QLD,2h,2025,True,base,-33638.806
2036,2024-08,QLD,2h,2025,True,base,-37254.361
2037,2024-08,QLD,2h,2025,True,base,-35298.851
2038,2024-08,QLD,2h,2025,True,base,-34238.279
2039,2024-08,QLD,2h,2025,True,base,-35170.862
2040,2024-08,QLD,2h,2025,True,base,-36523.285
2041,2024-08,QLD,2h,2025,True,base,-33512.59
2042,2024-08,QLD,2h,2025,True,base,-30504.697
2043,2024-08,QLD,2h,2025,True,base,-27917.491
2044,2024-08,QLD,2h,2025,True,base,-28065.679
2045,2024-08,QLD,2h,2025,True,base,-36689.031
2046,2024-08,QLD,2h,2025,True,base,-35981.7
2047,2024-08,QLD,2h,2025,True,base,-35013.933
2048,2024-08,QLD,2h,2025,True,base,-34106.92
2049,2024-08,QLD,2h,2025,True,base,-32316.597
2050,2024-08,QLD,2h,2025,True,base,-35131.7
2051,2024-08,QLD,2h,2025,True,base,-34693.135
2052,2024-08,QLD,2h,2025,True,base,-36744.062
2053,2024-08,QLD,2h,2025,True,base,-31626.378
2054,2024-08,QLD,2h,2025,True,base,-32781.547
2055,2024-08,QLD,2h,2025,True,base,-33387.178
2056,2024-08,QLD,2h,2025,True,base,-30886.192
2057,2024-08,QLD,2h,2025,True,base,-31958.495
2058,2024-08,QLD,2h,2025,True,base,-33059.363
2059,2024-08,QLD,2h,2025,True,base,-29875.686
2060,2024-08,QLD,2h,2025,True,base,-31680.022
2025,2024-08,QLD,4h,2025,True,base,-64777.24
2026,2024-08,QLD,4h,2025,True,base,-50265.605
2027,2024-08,QLD,4h,2025,True,base,-23912.806
2028,2024-08,QLD,4h,2025,True,base,-33072.069
2029,2024-08,QLD,4h,2025,True,base,-21759.189
2030,2024-08,QLD,4h,2025,True,base,-23893.856
2031,2024-08,QLD,4h,2025,True,base,-36230.576
2032,2024-08,QLD,4h,2025,True,base,-61361.382
2033,2024-08,QLD,4h,2025,True,base,-66403.121
2034,2024-08,QLD,4h,2025,True,base,-75339.748
2035,2024-08,QLD,4h,2025,True,base,-69058.115
2036,2024-08,QLD,4h,2025,True,base,-78319.092
2037,2024-08,QLD,4h,2025,True,base,-74478.32
2038,2024-08,QLD,4h,2025,True,base,-73208.992
2039,2024-08,QLD,4h,2025,True,base,-74987.171
2040,2024-08,QLD,4h,2025,True,base,-75716.308
2041,2024-08,QLD,4h,2025,True,base,-70335.729
2042,2024-08,QLD,4h,2025,True,base,-65661.681
2043,2024-08,QLD,4h,2025,True,base,-59889.043
2044,2024-08,QLD,4h,2025,True,base,-58608.867
2045,2024-08,QLD,4h,2025,True,base,-78510.592
2046,2024-08,QLD,4h,2025,True,base,-77871.449
2047,2024-08,QLD,4h,2025,True,base,-77572.753
2048,2024-08,QLD,4h,2025,True,base,-73296.675
2049,2024-08,QLD,4h,2025,True,base,-70451.203
2050,2024-08,QLD,4h,2025,True,base,-75029.133
2051,2024-08,QLD,4h,2025,True,base,-73003.994
2052,2024-08,QLD,4h,2025,True,base,-73285.322
2053,2024-08,QLD,4h,2025,True,base,-67767.369
2054,2024-08,QLD,4h,2025,True,base,-69044.211
2055,2024-08,QLD,4h,2025,True,base,-69931.162
2056,2024-08,QLD,4h,2025,True,base,-66275.364
2057,2024-08,QLD,4h,2025,True,base,-69630.567
2058,2024-08,QLD,4h,2025,True,base,-68584.262
2059,2024-08,QLD,4h,2025,True,base,-64952.395
2060,2024-08,QLD,4h,2025,True,base,-65821.157
2025,2024-08,SA,1h,2025,True,base,12282.878
2026,2024-08,SA,1h,2025,True,base,10035.787
2027,2024-08,SA,1h,2025,True,base,5959.533
2028,2024-08,SA,1h,2025,True,base,6957.541
2029,2024-08,SA,1h,2025,True,base,5188.324
2030,2024-08,SA,1h,2025,True,base,3070.321
2031,2024-08,SA,1h,2025,True,base,-1240.711
2032,2024-08,SA,1h,2025,True,base,-5517.845
2033,2024-08,SA,1h,2025,True,base,-7197.675
2034,2024-08,SA,1h,2025,True,base,-11205.609
2035,2024-08,SA,1h,2025,True,base,-10475.934
2036,2024-08,SA,1h,2025,True,base,-9959.883
2037,2024-08,SA,1h,2025,True,base,-13165.992
2038,2024-08,SA,1h,2025,True,base,-13624.85
2039,2024-08,SA,1h,2025,True,base,-15686.555
2040,2024-08,SA,1h,2025,True,base,-19491.596
2041,2024-08,SA,1h,2025,True,base,-18105.272
2042,2024-08,SA,1h,2025,True,base,-14888.84
2043,2024-08,SA,1h,2025,True,base,-14132.883
2044,2024-08,SA,1h,2025,True,base,-13196.136
2045,2024-08,SA,1h,2025,True,base,-17344.47
2046,2024-08,SA,1h,2025,True,base,-16081.441
2047,2024-08,SA,1h,2025,True,base,-17642.929
2048,2024-08,SA,1h,2025,True,base,-16902.773
2049,2024-08,SA,1h,2025,True,base,-17722.823
2050,2024-08,SA,1h,2025,True,base,-16509.063
2051,2024-08,SA,1h,2025,True,base,-17088.652
2052,2024-08,SA,1h,2025,True,base,-15319.293
2053,2024-08,SA,1h,2025,True,base,-17149.925
2054,2024-08,SA,1h,2025,True,base,-14729.049
2055,2024-08,SA,1h,2025,True,base,-16097.171
2056,2024-08,SA,1h,2025,True,base,-15547.82
2057,2024-08,SA,1h,2025,True,base,-15962.215
2058,2024-08,SA,1h,2025,True,base,-15958.213
2059,2024-08,SA,1h,2025,True,base,-15312.099
2060,2024-08,SA,1h,2025,True,base,-15487.473
2025,2024-08,SA,2h,2025,True,base,14191.227
2026,2024-08,SA,2h,2025,True,base,5923.827
2027,2024-08,SA,2h,2025,True,base,-2541.305
2028,2024-08,SA,2h,2025,True,base,1850.614
2029,2024-08,SA,2h,2025,True,base,-6674.721
2030,2024-08,SA,2h,2025,True,base,-8637.423
2031,2024-08,SA,2h,2025,True,base,-13207.639
2032,2024-08,SA,2h,2025,True,base,-19877.527
2033,2024-08,SA,2h,2025,True,base,-24241.408
2034,2024-08,SA,2h,2025,True,base,-29006.979
2035,2024-08,SA,2h,2025,True,base,-28306.512
2036,2024-08,SA,2h,2025,True,base,-28421.825
2037,2024-08,SA,2h,2025,True,base,-31975.279
2038,2024-08,SA,2h,2025,True,base,-32256.751
2039,2024-08,SA,2h,2025,True,base,-35220.698
2040,2024-08,SA,2h,2025,True,base,-40794.064
2041,2024-08,SA,2h,2025,True,base,-38447.022
2042,2024-08,SA,2h,2025,True,base,-32018.141
2043,2024-08,SA,2h,2025,True,base,-29873.79
2044,2024-08,SA,2h,2025,True,base,-27690.029
2045,2024-08,SA,2h,2025,True,base,-36801.849
2046,2024-08,SA,2h,2025,True,base,-35564.191
2047,2024-08,SA,2h,2025,True,base,-36352.614
2048,2024-08,SA,2h,2025,True,base,-35734.123
2049,2024-08,SA,2h,2025,True,base,-36378.402
2050,2024-08,SA,2h,2025,True,base,-34834.103
2051,2024-08,SA,2h,2025,True,base,-35031.556
2052,2024-08,SA,2h,2025,True,base,-32232.009
2053,2024-08,SA,2h,2025,True,base,-32811.776
2054,2024-08,SA,2h,2025,True,base,-32036.028
2055,2024-08,SA,2h,2025,True,base,-33896.661
2056,2024-08,SA,2h,2025,True,base,-32792.873
2057,2024-08,SA,2h,2025,True,base,-33288.167
2058,2024-08,SA,2h,2025,True,base,-33557.574
2059,2024-08,SA,2h,2025,True,base,-32743.496
2060,2024-08,SA,2h,2025,True,base,-32556.094
2025,2024-08,SA,4h,2025,True,base,-4192.708
2026,2024-08,SA,4h,2025,True,base,-19515.421
2027,2024-08,SA,4h,2025,True,base,-33399.25
2028,2024-08,SA,4h,2025,True,base,-28777.012
2029,2024-08,SA,4h,2025,True,base,-44120.819
2030,2024-08,SA,4h,2025,True,base,-43401.348
2031,2024-08,SA,4h,2025,True,base,-49565.7
2032,2024-08,SA,4h,2025,True,base,-60530.076
2033,2024-08,SA,4h,2025,True,base,-63243.386
2034,2024-08,SA,4h,2025,True,base,-72227.132
2035,2024-08,SA,4h,2025,True,base,-70086.96
2036,2024-08,SA,4h,2025,True,base,-71320.605
2037,2024-08,SA,4h,2025,True,base,-75510.25
2038,2024-08,SA,4h,2025,True,base,-75019.038
2039,2024-08,SA,4h,2025,True,base,-78411.778
2040,2024-08,SA,4h,2025,True,base,-84967.363
2041,2024-08,SA,4h,2025,True,base,-82779.852
2042,2024-08,SA,4h,2025,True,base,-69945.293
2043,2024-08,SA,4h,2025,True,base,-64650.176
2044,2024-08,SA,4h,2025,True,base,-58972.799
2045,2024-08,SA,4h,2025,True,base,-81798.205
2046,2024-08,SA,4h,2025,True,base,-81790.05
2047,2024-08,SA,4h,2025,True,base,-82228.876
2048,2024-08,SA,4h,2025,True,base,-77139.949
