year,value,region,duration,vintage
2041,163.75,TAS,2hr,Feb24
2042,169.91,TAS,2hr,Feb24
2043,168.06,TAS,2hr,Feb24
2044,170.61,TAS,2hr,Feb24
2045,170.28,TAS,2hr,Feb24
2046,169.92,TAS,2hr,Feb24
2047,171.53,TAS,2hr,Feb24
2048,174.05,TAS,2hr,Feb24
2049,169.11,TAS,2hr,Feb24
2050,168.84,TAS,2hr,Feb24
2051,168.25,TAS,2hr,Feb24
2052,170.01,TAS,2hr,Feb24
2053,166.68,TAS,2hr,Feb24
2054,169.54,TAS,2hr,Feb24
2055,170.98,TAS,2hr,Feb24
2056,170.84,TAS,2hr,Feb24
2057,172.43,TAS,2hr,Feb24
2058,172.25,TAS,2hr,Feb24
2059,171.68,TAS,2hr,Feb24
2060,172.15,TAS,2hr,Feb24
2024,122.2,TAS,4hr,Feb24
2025,122.38,TAS,4hr,Feb24
2026,116.61,TAS,4hr,Feb24
2027,115.16,TAS,4hr,Feb24
2028,113.86,TAS,4hr,Feb24
2029,119.24,TAS,4hr,Feb24
2030,117.47,TAS,4hr,Feb24
2031,111.53,TAS,4hr,Feb24
2032,112.34,TAS,4hr,Feb24
2033,108.48,TAS,4hr,Feb24
2034,112.75,TAS,4hr,Feb24
2035,109.91,TAS,4hr,Feb24
2036,125.88,TAS,4hr,Feb24
2037,126.09,TAS,4hr,Feb24
2038,126.01,TAS,4hr,Feb24
2039,127.02,TAS,4hr,Feb24
2040,126.94,TAS,4hr,Feb24
2041,130.43,TAS,4hr,Feb24
2042,135.92,TAS,4hr,Feb24
2043,134.94,TAS,4hr,Feb24
2044,136.74,TAS,4hr,Feb24
2045,137.13,TAS,4hr,Feb24
2046,137.84,TAS,4hr,Feb24
2047,139.27,TAS,4hr,Feb24
2048,140.86,TAS,4hr,Feb24
2049,136.88,TAS,4hr,Feb24
2050,136.91,TAS,4hr,Feb24
2051,136.36,TAS,4hr,Feb24
2052,137.41,TAS,4hr,Feb24
2053,135.36,TAS,4hr,Feb24
2054,137.64,TAS,4hr,Feb24
2055,138.6,TAS,4hr,Feb24
2056,138.79,TAS,4hr,Feb24
2057,139.37,TAS,4hr,Feb24
2058,139.2,TAS,4hr,Feb24
2059,138.91,TAS,4hr,Feb24
2060,140.12,TAS,4hr,Feb24
2024,497.86,VIC,Half-hourly,Feb24
2025,445.61,VIC,Half-hourly,Feb24
2026,415.9,VIC,Half-hourly,Feb24
2027,358.17,VIC,Half-hourly,Feb24
2028,313.92,VIC,Half-hourly,Feb24
2029,290.12,VIC,Half-hourly,Feb24
2030,273.86,VIC,Half-hourly,Feb24
2031,218.62,VIC,Half-hourly,Feb24
2032,249.92,VIC,Half-hourly,Feb24
2033,184.33,VIC,Half-hourly,Feb24
2034,191.97,VIC,Half-hourly,Feb24
2035,232.24,VIC,Half-hourly,Feb24
2036,375.87,VIC,Half-hourly,Feb24
2037,309.5,VIC,Half-hourly,Feb24
2038,347.21,VIC,Half-hourly,Feb24
2039,360.03,VIC,Half-hourly,Feb24
2040,437.86,VIC,Half-hourly,Feb24
2041,425.54,VIC,Half-hourly,Feb24
2042,559.45,VIC,Half-hourly,Feb24
2043,524.98,VIC,Half-hourly,Feb24
2044,533.48,VIC,Half-hourly,Feb24
2045,541.81,VIC,Half-hourly,Feb24
2046,536.07,VIC,Half-hourly,Feb24
2047,505.4,VIC,Half-hourly,Feb24
2048,446.89,VIC,Half-hourly,Feb24
2049,536.46,VIC,Half-hourly,Feb24
2050,519.67,VIC,Half-hourly,Feb24
2051,543.23,VIC,Half-hourly,Feb24
2052,417.25,VIC,Half-hourly,Feb24
2053,564.53,VIC,Half-hourly,Feb24
2054,552.62,VIC,Half-hourly,Feb24
2055,507.25,VIC,Half-hourly,Feb24
2056,426.84,VIC,Half-hourly,Feb24
2057,590.68,VIC,Half-hourly,Feb24
2058,416.18,VIC,Half-hourly,Feb24
2059,543.07,VIC,Half-hourly,Feb24
2060,513.81,VIC,Half-hourly,Feb24
2024,374.48,VIC,1hr,Feb24
2025,347.44,VIC,1hr,Feb24
2026,292.2,VIC,1hr,Feb24
2027,249.12,VIC,1hr,Feb24
2028,223.7,VIC,1hr,Feb24
2029,221.51,VIC,1hr,Feb24
2030,200.76,VIC,1hr,Feb24
2031,171.61,VIC,1hr,Feb24
2032,185.06,VIC,1hr,Feb24
2033,148.2,VIC,1hr,Feb24
2034,158.07,VIC,1hr,Feb24
2035,165.96,VIC,1hr,Feb24
2036,258.43,VIC,1hr,Feb24
2037,248.0,VIC,1hr,Feb24
2038,247.88,VIC,1hr,Feb24
2039,245.05,VIC,1hr,Feb24
2040,311.22,VIC,1hr,Feb24
2041,304.21,VIC,1hr,Feb24
2042,371.61,VIC,1hr,Feb24
2043,380.76,VIC,1hr,Feb24
2044,392.05,VIC,1hr,Feb24
2045,353.75,VIC,1hr,Feb24
2046,358.83,VIC,1hr,Feb24
2047,338.13,VIC,1hr,Feb24
2048,350.85,VIC,1hr,Feb24
2049,351.51,VIC,1hr,Feb24
2050,364.31,VIC,1hr,Feb24
2051,375.59,VIC,1hr,Feb24
2052,320.36,VIC,1hr,Feb24
2053,393.29,VIC,1hr,Feb24
2054,387.79,VIC,1hr,Feb24
2055,353.47,VIC,1hr,Feb24
2056,336.29,VIC,1hr,Feb24
2057,384.06,VIC,1hr,Feb24
2058,331.75,VIC,1hr,Feb24
2059,378.23,VIC,1hr,Feb24
2060,386.51,VIC,1hr,Feb24
2024,264.77,VIC,2hr,Feb24
2025,258.16,VIC,2hr,Feb24
2026,207.67,VIC,2hr,Feb24
2027,181.58,VIC,2hr,Feb24
2028,165.67,VIC,2hr,Feb24
2029,170.88,VIC,2hr,Feb24
2030,154.24,VIC,2hr,Feb24
2031,133.81,VIC,2hr,Feb24
2032,139.1,VIC,2hr,Feb24
2033,116.93,VIC,2hr,Feb24
2034,127.3,VIC,2hr,Feb24
2035,126.25,VIC,2hr,Feb24
2036,184.35,VIC,2hr,Feb24
2037,180.98,VIC,2hr,Feb24
2038,177.8,VIC,2hr,Feb24
2039,176.86,VIC,2hr,Feb24
2040,215.52,VIC,2hr,Feb24
2041,210.0,VIC,2hr,Feb24
2042,247.63,VIC,2hr,Feb24
2043,259.02,VIC,2hr,Feb24
2044,272.17,VIC,2hr,Feb24
2045,237.43,VIC,2hr,Feb24
2046,240.09,VIC,2hr,Feb24
2047,232.85,VIC,2hr,Feb24
2048,253.31,VIC,2hr,Feb24
2049,238.27,VIC,2hr,Feb24
2050,246.55,VIC,2hr,Feb24
2051,251.19,VIC,2hr,Feb24
2052,226.51,VIC,2hr,Feb24
2053,262.86,VIC,2hr,Feb24
2054,262.68,VIC,2hr,Feb24
2055,240.12,VIC,2hr,Feb24
2056,244.85,VIC,2hr,Feb24
2057,256.91,VIC,2hr,Feb24
2058,238.76,VIC,2hr,Feb24
2059,252.28,VIC,2hr,Feb24
2060,259.76,VIC,2hr,Feb24
2024,186.6,VIC,4hr,Feb24
2025,187.12,VIC,4hr,Feb24
2026,151.65,VIC,4hr,Feb24
2027,135.95,VIC,4hr,Feb24
2028,125.28,VIC,4hr,Feb24
2029,130.35,VIC,4hr,Feb24
2030,121.68,VIC,4hr,Feb24
2031,103.6,VIC,4hr,Feb24
2032,105.64,VIC,4hr,Feb24
2033,92.38,VIC,4hr,Feb24
2034,100.73,VIC,4hr,Feb24
2035,98.23,VIC,4hr,Feb24
2036,136.99,VIC,4hr,Feb24
2037,135.14,VIC,4hr,Feb24
2038,134.19,VIC,4hr,Feb24
2039,134.18,VIC,4hr,Feb24
2040,154.17,VIC,4hr,Feb24
2041,153.61,VIC,4hr,Feb24
2042,174.95,VIC,4hr,Feb24
2043,181.04,VIC,4hr,Feb24
2044,186.65,VIC,4hr,Feb24
2045,168.78,VIC,4hr,Feb24
2046,170.05,VIC,4hr,Feb24
2047,168.01,VIC,4hr,Feb24
2048,178.02,VIC,4hr,Feb24
2049,168.19,VIC,4hr,Feb24
2050,172.66,VIC,4hr,Feb24
2051,175.05,VIC,4hr,Feb24
2052,162.98,VIC,4hr,Feb24
2053,180.43,VIC,4hr,Feb24
2054,182.72,VIC,4hr,Feb24
2055,169.91,VIC,4hr,Feb24
2056,172.21,VIC,4hr,Feb24
2057,178.65,VIC,4hr,Feb24
2058,172.24,VIC,4hr,Feb24
2059,176.06,VIC,4hr,Feb24
2060,179.35,VIC,4hr,Feb24
2025,458.76,NSW,Half-hourly,Jan2025
2026,521.53,NSW,Half-hourly,Jan2025
2027,369.45,NSW,Half-hourly,Jan2025
2028,321.82,NSW,Half-hourly,Jan2025
2029,429.68,NSW,Half-hourly,Jan2025
2030,314.66,NSW,Half-hourly,Jan2025
2031,265.56,NSW,Half-hourly,Jan2025
2032,287.28,NSW,Half-hourly,Jan2025
2033,328.8,NSW,Half-hourly,Jan2025
2034,331.23,NSW,Half-hourly,Jan2025
2035,338.72,NSW,Half-hourly,Jan2025
2036,441.71,NSW,Half-hourly,Jan2025
2037,404.38,NSW,Half-hourly,Jan2025
2038,475.21,NSW,Half-hourly,Jan2025
2039,475.55,NSW,Half-hourly,Jan2025
2040,443.09,NSW,Half-hourly,Jan2025
2041,374.54,NSW,Half-hourly,Jan2025
2042,378.98,NSW,Half-hourly,Jan2025
2043,383.08,NSW,Half-hourly,Jan2025
2044,409.33,NSW,Half-hourly,Jan2025
2045,422.91,NSW,Half-hourly,Jan2025
2046,412.59,NSW,Half-hourly,Jan2025
2047,405.55,NSW,Half-hourly,Jan2025
2048,444.85,NSW,Half-hourly,Jan2025
2049,386.87,NSW,Half-hourly,Jan2025
2050,433.99,NSW,Half-hourly,Jan2025
2051,435.63,NSW,Half-hourly,Jan2025
2052,405.61,NSW,Half-hourly,Jan2025
2053,387.42,NSW,Half-hourly,Jan2025
2054,391.45,NSW,Half-hourly,Jan2025
2055,410.45,NSW,Half-hourly,Jan2025
2056,385.01,NSW,Half-hourly,Jan2025
2057,444.76,NSW,Half-hourly,Jan2025
2058,396.8,NSW,Half-hourly,Jan2025
2059,389.89,NSW,Half-hourly,Jan2025
2060,374.83,NSW,Half-hourly,Jan2025
2025,349.77,NSW,1hr,Jan2025
2026,387.14,NSW,1hr,Jan2025
2027,261.41,NSW,1hr,Jan2025
2028,246.48,NSW,1hr,Jan2025
2029,297.94,NSW,1hr,Jan2025
2030,243.22,NSW,1hr,Jan2025
2031,190.45,NSW,1hr,Jan2025
2032,211.41,NSW,1hr,Jan2025
2033,232.6,NSW,1hr,Jan2025
2034,237.57,NSW,1hr,Jan2025
2035,246.34,NSW,1hr,Jan2025
2036,304.45,NSW,1hr,Jan2025
2037,311.99,NSW,1hr,Jan2025
2038,336.35,NSW,1hr,Jan2025
2039,336.92,NSW,1hr,Jan2025
2040,320.48,NSW,1hr,Jan2025
2041,274.94,NSW,1hr,Jan2025
2042,282.77,NSW,1hr,Jan2025
2043,289.22,NSW,1hr,Jan2025
2044,295.87,NSW,1hr,Jan2025
2045,308.99,NSW,1hr,Jan2025
2046,309.37,NSW,1hr,Jan2025
2047,300.72,NSW,1hr,Jan2025
2048,307.19,NSW,1hr,Jan2025
2049,298.36,NSW,1hr,Jan2025
2050,297.46,NSW,1hr,Jan2025
2051,298.95,NSW,1hr,Jan2025
2052,311.53,NSW,1hr,Jan2025
2053,297.7,NSW,1hr,Jan2025
2054,292.55,NSW,1hr,Jan2025
2055,310.08,NSW,1hr,Jan2025
2056,290.38,NSW,1hr,Jan2025
2057,312.38,NSW,1hr,Jan2025
2058,291.42,NSW,1hr,Jan2025
2059,297.91,NSW,1hr,Jan2025
2060,279.27,NSW,1hr,Jan2025
2025,250.42,NSW,2hr,Jan2025
2026,282.83,NSW,2hr,Jan2025
2027,187.55,NSW,2hr,Jan2025
2028,179.0,NSW,2hr,Jan2025
2029,209.29,NSW,2hr,Jan2025
2030,176.99,NSW,2hr,Jan2025
2031,140.09,NSW,2hr,Jan2025
2032,151.86,NSW,2hr,Jan2025
2033,161.57,NSW,2hr,Jan2025
2034,167.41,NSW,2hr,Jan2025
2035,169.92,NSW,2hr,Jan2025
2036,214.52,NSW,2hr,Jan2025
2037,225.7,NSW,2hr,Jan2025
2038,233.3,NSW,2hr,Jan2025
2039,234.68,NSW,2hr,Jan2025
2040,229.57,NSW,2hr,Jan2025
2041,203.01,NSW,2hr,Jan2025
2042,207.86,NSW,2hr,Jan2025
2043,208.41,NSW,2hr,Jan2025
2044,212.98,NSW,2hr,Jan2025
2045,221.79,NSW,2hr,Jan2025
2046,218.56,NSW,2hr,Jan2025
2047,218.09,NSW,2hr,Jan2025
2048,217.98,NSW,2hr,Jan2025
2049,218.06,NSW,2hr,Jan2025
2050,214.29,NSW,2hr,Jan2025
2051,217.26,NSW,2hr,Jan2025
2052,220.17,NSW,2hr,Jan2025
2053,217.09,NSW,2hr,Jan2025
2054,214.24,NSW,2hr,Jan2025
2055,220.98,NSW,2hr,Jan2025
2056,210.42,NSW,2hr,Jan2025
2057,218.62,NSW,2hr,Jan2025
2058,213.91,NSW,2hr,Jan2025
2059,211.39,NSW,2hr,Jan2025
2060,207.71,NSW,2hr,Jan2025
2025,184.8,NSW,4hr,Jan2025
2026,206.49,NSW,4hr,Jan2025
2027,138.06,NSW,4hr,Jan2025
2028,131.43,NSW,4hr,Jan2025
2029,152.41,NSW,4hr,Jan2025
2030,131.73,NSW,4hr,Jan2025
2031,101.12,NSW,4hr,Jan2025
2032,108.63,NSW,4hr,Jan2025
2033,115.74,NSW,4hr,Jan2025
2034,122.05,NSW,4hr,Jan2025
2035,121.4,NSW,4hr,Jan2025
2036,155.65,NSW,4hr,Jan2025
2037,165.01,NSW,4hr,Jan2025
2038,167.66,NSW,4hr,Jan2025
2039,168.23,NSW,4hr,Jan2025
2040,166.53,NSW,4hr,Jan2025
2041,151.87,NSW,4hr,Jan2025
2042,154.54,NSW,4hr,Jan2025
2043,154.77,NSW,4hr,Jan2025
2044,159.35,NSW,4hr,Jan2025
2045,160.94,NSW,4hr,Jan2025
2046,159.37,NSW,4hr,Jan2025
2047,159.62,NSW,4hr,Jan2025
2048,158.63,NSW,4hr,Jan2025
2049,159.96,NSW,4hr,Jan2025
2050,155.99,NSW,4hr,Jan2025
2051,158.49,NSW,4hr,Jan2025
2052,160.0,NSW,4hr,Jan2025
2053,158.51,NSW,4hr,Jan2025
2054,158.34,NSW,4hr,Jan2025
2055,159.97,NSW,4hr,Jan2025
2056,154.59,NSW,4hr,Jan2025
2057,158.27,NSW,4hr,Jan2025
2058,155.36,NSW,4hr,Jan2025
2059,153.63,NSW,4hr,Jan2025
2060,152.27,NSW,4hr,Jan2025
2025,531.96,QLD,Half-hourly,Jan2025
2026,520.41,QLD,Half-hourly,Jan2025
2027,440.74,QLD,Half-hourly,Jan2025
2028,511.12,QLD,Half-hourly,Jan2025
2029,482.81,QLD,Half-hourly,Jan2025
2030,531.29,QLD,Half-hourly,Jan2025
2031,475.19,QLD,Half-hourly,Jan2025
2032,333.24,QLD,Half-hourly,Jan2025
2033,370.99,QLD,Half-hourly,Jan2025
2034,368.59,QLD,Half-hourly,Jan2025
2035,384.02,QLD,Half-hourly,Jan2025
2036,490.91,QLD,Half-hourly,Jan2025
2037,482.83,QLD,Half-hourly,Jan2025
2038,423.84,QLD,Half-hourly,Jan2025
2039,446.82,QLD,Half-hourly,Jan2025
2040,417.55,QLD,Half-hourly,Jan2025
2041,454.54,QLD,Half-hourly,Jan2025
2042,375.57,QLD,Half-hourly,Jan2025
2043,385.0,QLD,Half-hourly,Jan2025
2044,384.45,QLD,Half-hourly,Jan2025
2045,387.07,QLD,Half-hourly,Jan2025
2046,379.52,QLD,Half-hourly,Jan2025
2047,377.39,QLD,Half-hourly,Jan2025
2048,355.66,QLD,Half-hourly,Jan2025
2049,344.94,QLD,Half-hourly,Jan2025
2050,368.35,QLD,Half-hourly,Jan2025
2051,426.4,QLD,Half-hourly,Jan2025
2052,395.41,QLD,Half-hourly,Jan2025
2053,404.89,QLD,Half-hourly,Jan2025
2054,442.59,QLD,Half-hourly,Jan2025
2055,369.59,QLD,Half-hourly,Jan2025
2056,428.12,QLD,Half-hourly,Jan2025
2057,443.97,QLD,Half-hourly,Jan2025
2058,439.49,QLD,Half-hourly,Jan2025
2059,390.62,QLD,Half-hourly,Jan2025
2060,424.8,QLD,Half-hourly,Jan2025
2025,389.89,QLD,1hr,Jan2025
2026,368.19,QLD,1hr,Jan2025
2027,346.99,QLD,1hr,Jan2025
2028,364.48,QLD,1hr,Jan2025
2029,346.14,QLD,1hr,Jan2025
2030,371.66,QLD,1hr,Jan2025
2031,330.69,QLD,1hr,Jan2025
2032,244.88,QLD,1hr,Jan2025
2033,268.9,QLD,1hr,Jan2025
2034,269.02,QLD,1hr,Jan2025
2035,271.58,QLD,1hr,Jan2025
2036,343.83,QLD,1hr,Jan2025
2037,338.24,QLD,1hr,Jan2025
2038,300.14,QLD,1hr,Jan2025
2039,324.39,QLD,1hr,Jan2025
2040,310.62,QLD,1hr,Jan2025
2041,321.32,QLD,1hr,Jan2025
2042,286.96,QLD,1hr,Jan2025
2043,287.65,QLD,1hr,Jan2025
2044,279.54,QLD,1hr,Jan2025
2045,281.86,QLD,1hr,Jan2025
2046,275.9,QLD,1hr,Jan2025
2047,283.4,QLD,1hr,Jan2025
2048,263.19,QLD,1hr,Jan2025
2049,255.4,QLD,1hr,Jan2025
2050,280.07,QLD,1hr,Jan2025
2051,306.1,QLD,1hr,Jan2025
2052,299.03,QLD,1hr,Jan2025
2053,310.6,QLD,1hr,Jan2025
2054,313.39,QLD,1hr,Jan2025
2055,277.86,QLD,1hr,Jan2025
2056,305.57,QLD,1hr,Jan2025
2057,314.25,QLD,1hr,Jan2025
2058,306.93,QLD,1hr,Jan2025
2059,285.46,QLD,1hr,Jan2025
2060,304.98,QLD,1hr,Jan2025
2025,276.1,QLD,2hr,Jan2025
2026,255.46,QLD,2hr,Jan2025
2027,250.24,QLD,2hr,Jan2025
2028,249.71,QLD,2hr,Jan2025
2029,245.47,QLD,2hr,Jan2025
2030,247.1,QLD,2hr,Jan2025
2031,223.85,QLD,2hr,Jan2025
2032,174.58,QLD,2hr,Jan2025
2033,184.59,QLD,2hr,Jan2025
2034,191.84,QLD,2hr,Jan2025
2035,188.83,QLD,2hr,Jan2025
2036,238.01,QLD,2hr,Jan2025
2037,237.12,QLD,2hr,Jan2025
2038,218.71,QLD,2hr,Jan2025
2039,229.36,QLD,2hr,Jan2025
2040,225.42,QLD,2hr,Jan2025
2041,228.84,QLD,2hr,Jan2025
2042,215.29,QLD,2hr,Jan2025
2043,215.75,QLD,2hr,Jan2025
2044,208.94,QLD,2hr,Jan2025
2045,206.68,QLD,2hr,Jan2025
2046,207.28,QLD,2hr,Jan2025
2047,205.99,QLD,2hr,Jan2025
2048,193.33,QLD,2hr,Jan2025
2049,187.57,QLD,2hr,Jan2025
2050,213.33,QLD,2hr,Jan2025
2051,215.9,QLD,2hr,Jan2025
2052,215.52,QLD,2hr,Jan2025
2053,221.63,QLD,2hr,Jan2025
2054,221.96,QLD,2hr,Jan2025
2055,211.67,QLD,2hr,Jan2025
2056,216.71,QLD,2hr,Jan2025
2057,224.21,QLD,2hr,Jan2025
2058,217.23,QLD,2hr,Jan2025
2059,213.39,QLD,2hr,Jan2025
2060,221.23,QLD,2hr,Jan2025
2025,197.06,QLD,4hr,Jan2025
2026,184.35,QLD,4hr,Jan2025
2027,180.27,QLD,4hr,Jan2025
2028,175.93,QLD,4hr,Jan2025
2029,177.84,QLD,4hr,Jan2025
2030,172.02,QLD,4hr,Jan2025
2031,154.83,QLD,4hr,Jan2025
2032,124.47,QLD,4hr,Jan2025
2033,127.34,QLD,4hr,Jan2025
2034,137.56,QLD,4hr,Jan2025
2035,134.72,QLD,4hr,Jan2025
2036,166.75,QLD,4hr,Jan2025
2037,167.52,QLD,4hr,Jan2025
2038,162.24,QLD,4hr,Jan2025
2039,162.75,QLD,4hr,Jan2025
2040,160.64,QLD,4hr,Jan2025
2041,163.37,QLD,4hr,Jan2025
2042,160.34,QLD,4hr,Jan2025
2043,161.87,QLD,4hr,Jan2025
2044,157.01,QLD,4hr,Jan2025
2045,153.15,QLD,4hr,Jan2025
2046,155.47,QLD,4hr,Jan2025
2047,154.49,QLD,4hr,Jan2025
2048,145.41,QLD,4hr,Jan2025
2049,142.82,QLD,4hr,Jan2025
2050,159.21,QLD,4hr,Jan2025
2051,160.92,QLD,4hr,Jan2025
2052,161.18,QLD,4hr,Jan2025
2053,163.91,QLD,4hr,Jan2025
2054,164.21,QLD,4hr,Jan2025
2055,162.63,QLD,4hr,Jan2025
2056,160.76,QLD,4hr,Jan2025
2057,164.94,QLD,4hr,Jan2025
2058,160.13,QLD,4hr,Jan2025
2059,161.15,QLD,4hr,Jan2025
2060,160.22,QLD,4hr,Jan2025
2025,707.04,SA,Half-hourly,Jan2025
2026,642.71,SA,Half-hourly,Jan2025
2027,541.84,SA,Half-hourly,Jan2025
2028,501.67,SA,Half-hourly,Jan2025
2029,473.25,SA,Half-hourly,Jan2025
2030,466.45,SA,Half-hourly,Jan2025
2031,443.54,SA,Half-hourly,Jan2025
2032,403.14,SA,Half-hourly,Jan2025
2033,503.63,SA,Half-hourly,Jan2025
2034,468.18,SA,Half-hourly,Jan2025
2035,448.0,SA,Half-hourly,Jan2025
2036,509.02,SA,Half-hourly,Jan2025
2037,511.65,SA,Half-hourly,Jan2025
2038,502.35,SA,Half-hourly,Jan2025
2039,495.25,SA,Half-hourly,Jan2025
2040,460.43,SA,Half-hourly,Jan2025
2041,449.01,SA,Half-hourly,Jan2025
2042,425.06,SA,Half-hourly,Jan2025
2043,390.24,SA,Half-hourly,Jan2025
2044,426.49,SA,Half-hourly,Jan2025
2045,429.5,SA,Half-hourly,Jan2025
2046,451.92,SA,Half-hourly,Jan2025
2047,440.04,SA,Half-hourly,Jan2025
2048,526.84,SA,Half-hourly,Jan2025
2049,444.74,SA,Half-hourly,Jan2025
2050,458.09,SA,Half-hourly,Jan2025
2051,458.25,SA,Half-hourly,Jan2025
2052,503.0,SA,Half-hourly,Jan2025
2053,482.14,SA,Half-hourly,Jan2025
2054,447.91,SA,Half-hourly,Jan2025
2055,480.27,SA,Half-hourly,Jan2025
2056,408.63,SA,Half-hourly,Jan2025
2057,423.52,SA,Half-hourly,Jan2025
2058,530.85,SA,Half-hourly,Jan2025
2059,451.98,SA,Half-hourly,Jan2025
2060,519.67,SA,Half-hourly,Jan2025
2025,508.37,SA,1hr,Jan2025
2026,452.41,SA,1hr,Jan2025
2027,428.94,SA,1hr,Jan2025
2028,355.3,SA,1hr,Jan2025
2029,357.33,SA,1hr,Jan2025
2030,345.34,SA,1hr,Jan2025
2031,322.72,SA,1hr,Jan2025
2032,312.82,SA,1hr,Jan2025
2033,333.7,SA,1hr,Jan2025
2034,329.66,SA,1hr,Jan2025
2035,311.43,SA,1hr,Jan2025
2036,367.44,SA,1hr,Jan2025
2037,369.76,SA,1hr,Jan2025
2038,359.08,SA,1hr,Jan2025
2039,366.68,SA,1hr,Jan2025
2040,339.83,SA,1hr,Jan2025
2041,337.6,SA,1hr,Jan2025
2042,304.43,SA,1hr,Jan2025
2043,291.73,SA,1hr,Jan2025
2044,321.05,SA,1hr,Jan2025
2045,303.58,SA,1hr,Jan2025
2046,309.73,SA,1hr,Jan2025
2047,307.27,SA,1hr,Jan2025
2048,368.18,SA,1hr,Jan2025
2049,335.86,SA,1hr,Jan2025
2050,330.64,SA,1hr,Jan2025
2051,330.78,SA,1hr,Jan2025
2052,359.52,SA,1hr,Jan2025
2053,332.68,SA,1hr,Jan2025
2054,336.58,SA,1hr,Jan2025
2055,337.19,SA,1hr,Jan2025
2056,335.13,SA,1hr,Jan2025
2057,330.33,SA,1hr,Jan2025
2058,367.14,SA,1hr,Jan2025
2059,335.73,SA,1hr,Jan2025
2060,361.1,SA,1hr,Jan2025
2025,355.55,SA,2hr,Jan2025
2026,316.25,SA,2hr,Jan2025
2027,309.38,SA,2hr,Jan2025
2028,251.9,SA,2hr,Jan2025
2029,253.46,SA,2hr,Jan2025
2030,250.66,SA,2hr,Jan2025
2031,224.81,SA,2hr,Jan2025
2032,224.36,SA,2hr,Jan2025
2033,227.25,SA,2hr,Jan2025
2034,229.13,SA,2hr,Jan2025
2035,216.13,SA,2hr,Jan2025
2036,258.87,SA,2hr,Jan2025
2037,258.07,SA,2hr,Jan2025
2038,252.76,SA,2hr,Jan2025
2039,254.14,SA,2hr,Jan2025
2040,253.73,SA,2hr,Jan2025
2041,247.03,SA,2hr,Jan2025
2042,220.0,SA,2hr,Jan2025
2043,216.98,SA,2hr,Jan2025
2044,238.47,SA,2hr,Jan2025
2045,216.79,SA,2hr,Jan2025
2046,219.72,SA,2hr,Jan2025
2047,219.11,SA,2hr,Jan2025
2048,255.85,SA,2hr,Jan2025
2049,239.45,SA,2hr,Jan2025
2050,232.54,SA,2hr,Jan2025
2051,232.77,SA,2hr,Jan2025
2052,248.6,SA,2hr,Jan2025
2053,230.72,SA,2hr,Jan2025
2054,238.65,SA,2hr,Jan2025
2055,237.37,SA,2hr,Jan2025
2056,251.91,SA,2hr,Jan2025
2057,246.84,SA,2hr,Jan2025
2058,249.8,SA,2hr,Jan2025
2059,244.27,SA,2hr,Jan2025
2060,252.03,SA,2hr,Jan2025
2025,249.33,SA,4hr,Jan2025
2026,220.2,SA,4hr,Jan2025
2027,214.45,SA,4hr,Jan2025
2028,177.49,SA,4hr,Jan2025
2029,178.29,SA,4hr,Jan2025
2030,177.43,SA,4hr,Jan2025
2031,155.16,SA,4hr,Jan2025
2032,155.92,SA,4hr,Jan2025
2033,156.88,SA,4hr,Jan2025
2034,158.91,SA,4hr,Jan2025
2035,149.86,SA,4hr,Jan2025
2036,182.26,SA,4hr,Jan2025
2037,181.41,SA,4hr,Jan2025
2038,181.46,SA,4hr,Jan2025
2039,180.87,SA,4hr,Jan2025
2040,181.56,SA,4hr,Jan2025
2041,178.49,SA,4hr,Jan2025
2042,163.71,SA,4hr,Jan2025
2043,162.59,SA,4hr,Jan2025
2044,174.44,SA,4hr,Jan2025
2045,161.27,SA,4hr,Jan2025
2046,162.79,SA,4hr,Jan2025
2047,162.78,SA,4hr,Jan2025
2048,181.39,SA,4hr,Jan2025
2049,173.89,SA,4hr,Jan2025
2050,167.81,SA,4hr,Jan2025
2051,168.22,SA,4hr,Jan2025
2052,177.49,SA,4hr,Jan2025
2053,166.7,SA,4hr,Jan2025
2054,172.65,SA,4hr,Jan2025
2055,173.15,SA,4hr,Jan2025
2056,179.66,SA,4hr,Jan2025
2057,175.72,SA,4hr,Jan2025
2058,175.35,SA,4hr,Jan2025
2059,174.31,SA,4hr,Jan2025
2060,177.29,SA,4hr,Jan2025
2025,270.81,TAS,Half-hourly,Jan2025
2026,264.57,TAS,Half-hourly,Jan2025
2027,255.68,TAS,Half-hourly,Jan2025
2028,252.36,TAS,Half-hourly,Jan2025
2029,281.68,TAS,Half-hourly,Jan2025
2030,262.49,TAS,Half-hourly,Jan2025
2031,267.46,TAS,Half-hourly,Jan2025
2032,249.13,TAS,Half-hourly,Jan2025
2033,251.55,TAS,Half-hourly,Jan2025
2034,257.89,TAS,Half-hourly,Jan2025
2035,254.43,TAS,Half-hourly,Jan2025
2036,264.92,TAS,Half-hourly,Jan2025
2037,269.88,TAS,Half-hourly,Jan2025
2038,255.45,TAS,Half-hourly,Jan2025
2039,267.68,TAS,Half-hourly,Jan2025
2040,255.38,TAS,Half-hourly,Jan2025
2041,267.89,TAS,Half-hourly,Jan2025
2042,262.33,TAS,Half-hourly,Jan2025
2043,260.51,TAS,Half-hourly,Jan2025
2044,272.16,TAS,Half-hourly,Jan2025
2045,263.42,TAS,Half-hourly,Jan2025
