date,value,region,vintage
2038-03,142.74,NSW,August_24
2038-04,133.0,NSW,August_24
2038-05,102.02,NSW,August_24
2038-06,189.98,NSW,August_24
2038-07,148.58,NSW,August_24
2038-08,123.16,NSW,August_24
2038-09,81.6,NSW,August_24
2038-10,66.04,NSW,August_24
2038-11,51.23,NSW,August_24
2038-12,52.42,NSW,August_24
2039-01,97.62,NSW,August_24
2039-02,113.56,NSW,August_24
2039-03,148.4,NSW,August_24
2039-04,133.37,NSW,August_24
2039-05,114.75,NSW,August_24
2039-06,172.43,NSW,August_24
2039-07,152.16,NSW,August_24
2039-08,126.99,NSW,August_24
2039-09,79.58,NSW,August_24
2039-10,63.74,NSW,August_24
2039-11,49.52,NSW,August_24
2039-12,53.79,NSW,August_24
2040-01,104.75,NSW,August_24
2040-02,116.09,NSW,August_24
2040-03,153.83,NSW,August_24
2040-04,135.29,NSW,August_24
2040-05,107.81,NSW,August_24
2040-06,169.23,NSW,August_24
2040-07,137.08,NSW,August_24
2040-08,124.75,NSW,August_24
2040-09,81.21,NSW,August_24
2040-10,63.99,NSW,August_24
2040-11,45.34,NSW,August_24
2040-12,52.0,NSW,August_24
2041-01,95.31,NSW,August_24
2041-02,114.6,NSW,August_24
2041-03,161.85,NSW,August_24
2041-04,140.78,NSW,August_24
2041-05,111.25,NSW,August_24
2041-06,177.25,NSW,August_24
2041-07,135.6,NSW,August_24
2041-08,124.65,NSW,August_24
2041-09,90.14,NSW,August_24
2041-10,66.03,NSW,August_24
2041-11,50.93,NSW,August_24
2041-12,69.98,NSW,August_24
2042-01,98.02,NSW,August_24
2042-02,111.06,NSW,August_24
2042-03,145.08,NSW,August_24
2042-04,135.12,NSW,August_24
2042-05,108.25,NSW,August_24
2042-06,189.58,NSW,August_24
2042-07,141.59,NSW,August_24
2042-08,127.48,NSW,August_24
2042-09,92.75,NSW,August_24
2042-10,66.41,NSW,August_24
2042-11,58.12,NSW,August_24
2042-12,55.73,NSW,August_24
2043-01,97.67,NSW,August_24
2043-02,117.14,NSW,August_24
2043-03,141.93,NSW,August_24
2043-04,133.67,NSW,August_24
2043-05,109.46,NSW,August_24
2043-06,167.85,NSW,August_24
2043-07,140.63,NSW,August_24
2043-08,125.37,NSW,August_24
2043-09,97.84,NSW,August_24
2043-10,64.92,NSW,August_24
2043-11,51.82,NSW,August_24
2043-12,63.69,NSW,August_24
2044-01,100.51,NSW,August_24
2044-02,109.87,NSW,August_24
2044-03,151.17,NSW,August_24
2044-04,130.28,NSW,August_24
2044-05,114.92,NSW,August_24
2044-06,172.96,NSW,August_24
2044-07,132.98,NSW,August_24
2044-08,134.62,NSW,August_24
2044-09,88.1,NSW,August_24
2044-10,65.41,NSW,August_24
2044-11,55.82,NSW,August_24
2044-12,54.06,NSW,August_24
2045-01,102.05,NSW,August_24
2045-02,114.12,NSW,August_24
2045-03,141.83,NSW,August_24
2045-04,134.01,NSW,August_24
2045-05,109.34,NSW,August_24
2045-06,176.48,NSW,August_24
2045-07,142.0,NSW,August_24
2045-08,128.3,NSW,August_24
2045-09,89.7,NSW,August_24
2045-10,66.45,NSW,August_24
2045-11,50.28,NSW,August_24
2045-12,53.55,NSW,August_24
2046-01,96.53,NSW,August_24
2046-02,111.06,NSW,August_24
2046-03,141.02,NSW,August_24
2046-04,141.35,NSW,August_24
2046-05,108.29,NSW,August_24
2046-06,195.26,NSW,August_24
2046-07,148.31,NSW,August_24
2046-08,127.12,NSW,August_24
2046-09,92.65,NSW,August_24
2046-10,67.2,NSW,August_24
2046-11,59.04,NSW,August_24
2046-12,54.4,NSW,August_24
2047-01,98.72,NSW,August_24
2047-02,115.56,NSW,August_24
2047-03,140.62,NSW,August_24
2047-04,131.73,NSW,August_24
2047-05,108.94,NSW,August_24
2047-06,167.93,NSW,August_24
2047-07,136.97,NSW,August_24
2047-08,133.08,NSW,August_24
2047-09,87.54,NSW,August_24
2047-10,69.13,NSW,August_24
2047-11,49.4,NSW,August_24
2047-12,53.82,NSW,August_24
2048-01,97.0,NSW,August_24
2048-02,106.7,NSW,August_24
2048-03,147.61,NSW,August_24
2048-04,129.33,NSW,August_24
2048-05,120.0,NSW,August_24
2048-06,172.83,NSW,August_24
2048-07,140.93,NSW,August_24
2048-08,129.03,NSW,August_24
2048-09,89.28,NSW,August_24
2048-10,67.44,NSW,August_24
2048-11,51.43,NSW,August_24
2048-12,52.27,NSW,August_24
2049-01,97.13,NSW,August_24
2049-02,108.3,NSW,August_24
2049-03,138.31,NSW,August_24
2049-04,139.69,NSW,August_24
2049-05,108.9,NSW,August_24
2049-06,197.75,NSW,August_24
2049-07,137.39,NSW,August_24
2049-08,129.07,NSW,August_24
2049-09,81.24,NSW,August_24
2049-10,57.77,NSW,August_24
2049-11,41.4,NSW,August_24
2049-12,43.77,NSW,August_24
2050-01,100.54,NSW,August_24
2050-02,106.37,NSW,August_24
2050-03,136.52,NSW,August_24
2050-04,129.79,NSW,August_24
2050-05,110.2,NSW,August_24
2050-06,193.53,NSW,August_24
2050-07,138.26,NSW,August_24
2050-08,129.6,NSW,August_24
2050-09,86.64,NSW,August_24
2050-10,60.35,NSW,August_24
2050-11,43.29,NSW,August_24
2050-12,44.42,NSW,August_24
2051-01,96.32,NSW,August_24
2051-02,107.5,NSW,August_24
2051-03,140.2,NSW,August_24
2051-04,137.68,NSW,August_24
2051-05,113.64,NSW,August_24
2051-06,174.17,NSW,August_24
2051-07,140.92,NSW,August_24
2051-08,147.28,NSW,August_24
2051-09,82.97,NSW,August_24
2051-10,55.66,NSW,August_24
2051-11,40.68,NSW,August_24
2051-12,44.04,NSW,August_24
2052-01,86.59,NSW,August_24
2052-02,111.24,NSW,August_24
2052-03,137.68,NSW,August_24
2052-04,130.46,NSW,August_24
2052-05,116.43,NSW,August_24
2052-06,193.85,NSW,August_24
2052-07,125.74,NSW,August_24
2052-08,125.1,NSW,August_24
2052-09,86.03,NSW,August_24
2052-10,58.78,NSW,August_24
2052-11,43.84,NSW,August_24
2052-12,72.65,NSW,August_24
2053-01,88.51,NSW,August_24
2053-02,114.58,NSW,August_24
2053-03,152.91,NSW,August_24
2053-04,136.05,NSW,August_24
2053-05,114.39,NSW,August_24
2053-06,172.83,NSW,August_24
2053-07,143.87,NSW,August_24
2053-08,128.0,NSW,August_24
2053-09,78.46,NSW,August_24
2053-10,57.59,NSW,August_24
2053-11,42.31,NSW,August_24
2053-12,42.33,NSW,August_24
2054-01,90.91,NSW,August_24
2054-02,110.74,NSW,August_24
2054-03,137.75,NSW,August_24
2054-04,133.17,NSW,August_24
2054-05,115.98,NSW,August_24
2054-06,175.98,NSW,August_24
2054-07,138.62,NSW,August_24
2054-08,128.96,NSW,August_24
2054-09,81.36,NSW,August_24
2054-10,59.16,NSW,August_24
