date,value,region,vintage
2038-03,119.76,NSW,August_24
2038-04,83.11,NSW,August_24
2038-05,59.57,NSW,August_24
2038-06,112.21,NSW,August_24
2038-07,90.9,NSW,August_24
2038-08,75.71,NSW,August_24
2038-09,45.23,NSW,August_24
2038-10,45.96,NSW,August_24
2038-11,34.79,NSW,August_24
2038-12,35.37,NSW,August_24
2039-01,78.28,NSW,August_24
2039-02,73.27,NSW,August_24
2039-03,131.33,NSW,August_24
2039-04,83.54,NSW,August_24
2039-05,59.74,NSW,August_24
2039-06,121.67,NSW,August_24
2039-07,93.4,NSW,August_24
2039-08,75.81,NSW,August_24
2039-09,46.23,NSW,August_24
2039-10,43.43,NSW,August_24
2039-11,32.04,NSW,August_24
2039-12,34.98,NSW,August_24
2040-01,75.7,NSW,August_24
2040-02,70.44,NSW,August_24
2040-03,123.81,NSW,August_24
2040-04,81.73,NSW,August_24
2040-05,64.46,NSW,August_24
2040-06,123.66,NSW,August_24
2040-07,97.48,NSW,August_24
2040-08,77.87,NSW,August_24
2040-09,45.23,NSW,August_24
2040-10,43.04,NSW,August_24
2040-11,31.48,NSW,August_24
2040-12,35.7,NSW,August_24
2041-01,81.73,NSW,August_24
2041-02,75.44,NSW,August_24
2041-03,144.14,NSW,August_24
2041-04,86.3,NSW,August_24
2041-05,66.22,NSW,August_24
2041-06,124.4,NSW,August_24
2041-07,96.09,NSW,August_24
2041-08,75.8,NSW,August_24
2041-09,45.4,NSW,August_24
2041-10,43.84,NSW,August_24
2041-11,33.29,NSW,August_24
2041-12,36.15,NSW,August_24
2042-01,78.88,NSW,August_24
2042-02,68.68,NSW,August_24
2042-03,120.14,NSW,August_24
2042-04,83.36,NSW,August_24
2042-05,68.31,NSW,August_24
2042-06,120.89,NSW,August_24
2042-07,95.8,NSW,August_24
2042-08,75.96,NSW,August_24
2042-09,45.92,NSW,August_24
2042-10,43.55,NSW,August_24
2042-11,33.02,NSW,August_24
2042-12,35.14,NSW,August_24
2043-01,76.89,NSW,August_24
2043-02,67.29,NSW,August_24
2043-03,119.3,NSW,August_24
2043-04,82.65,NSW,August_24
2043-05,67.24,NSW,August_24
2043-06,124.71,NSW,August_24
2043-07,96.35,NSW,August_24
2043-08,76.67,NSW,August_24
2043-09,46.79,NSW,August_24
2043-10,40.87,NSW,August_24
2043-11,31.25,NSW,August_24
2043-12,34.12,NSW,August_24
2044-01,75.22,NSW,August_24
2044-02,65.38,NSW,August_24
2044-03,122.27,NSW,August_24
2044-04,80.96,NSW,August_24
2044-05,75.18,NSW,August_24
2044-06,124.82,NSW,August_24
2044-07,97.35,NSW,August_24
2044-08,73.23,NSW,August_24
2044-09,45.13,NSW,August_24
2044-10,42.06,NSW,August_24
2044-11,32.22,NSW,August_24
2044-12,33.87,NSW,August_24
2045-01,76.07,NSW,August_24
2045-02,64.94,NSW,August_24
2045-03,116.91,NSW,August_24
2045-04,80.65,NSW,August_24
2045-05,67.64,NSW,August_24
2045-06,125.93,NSW,August_24
2045-07,94.47,NSW,August_24
2045-08,73.5,NSW,August_24
2045-09,44.58,NSW,August_24
2045-10,42.15,NSW,August_24
2045-11,32.12,NSW,August_24
2045-12,34.34,NSW,August_24
2046-01,75.17,NSW,August_24
2046-02,64.3,NSW,August_24
2046-03,118.12,NSW,August_24
2046-04,82.29,NSW,August_24
2046-05,69.96,NSW,August_24
2046-06,126.02,NSW,August_24
2046-07,94.1,NSW,August_24
2046-08,75.24,NSW,August_24
2046-09,44.75,NSW,August_24
2046-10,42.6,NSW,August_24
2046-11,32.57,NSW,August_24
2046-12,32.65,NSW,August_24
2047-01,74.16,NSW,August_24
2047-02,63.8,NSW,August_24
2047-03,117.02,NSW,August_24
2047-04,80.93,NSW,August_24
2047-05,69.41,NSW,August_24
2047-06,127.19,NSW,August_24
2047-07,96.97,NSW,August_24
2047-08,74.39,NSW,August_24
2047-09,46.75,NSW,August_24
2047-10,41.1,NSW,August_24
2047-11,30.9,NSW,August_24
2047-12,30.38,NSW,August_24
2048-01,71.31,NSW,August_24
2048-02,60.83,NSW,August_24
2048-03,116.04,NSW,August_24
2048-04,79.44,NSW,August_24
2048-05,73.56,NSW,August_24
2048-06,141.09,NSW,August_24
2048-07,96.24,NSW,August_24
2048-08,74.27,NSW,August_24
2048-09,44.48,NSW,August_24
2048-10,42.29,NSW,August_24
2048-11,32.38,NSW,August_24
2048-12,32.55,NSW,August_24
2049-01,72.28,NSW,August_24
2049-02,61.07,NSW,August_24
2049-03,115.67,NSW,August_24
2049-04,81.53,NSW,August_24
2049-05,70.39,NSW,August_24
2049-06,134.31,NSW,August_24
2049-07,93.85,NSW,August_24
2049-08,75.46,NSW,August_24
2049-09,41.95,NSW,August_24
2049-10,37.65,NSW,August_24
2049-11,26.71,NSW,August_24
2049-12,27.23,NSW,August_24
2050-01,71.17,NSW,August_24
2050-02,58.36,NSW,August_24
2050-03,114.6,NSW,August_24
2050-04,81.49,NSW,August_24
2050-05,73.51,NSW,August_24
2050-06,134.41,NSW,August_24
2050-07,95.3,NSW,August_24
2050-08,75.13,NSW,August_24
2050-09,41.74,NSW,August_24
2050-10,38.01,NSW,August_24
2050-11,27.52,NSW,August_24
2050-12,25.72,NSW,August_24
2051-01,74.21,NSW,August_24
2051-02,57.62,NSW,August_24
2051-03,116.03,NSW,August_24
2051-04,81.68,NSW,August_24
