date,value,region,vintage
2038-03,142.74,NSW,August_24
2038-04,131.42,NSW,August_24
2038-05,100.23,NSW,August_24
2038-06,189.98,NSW,August_24
2038-07,144.42,NSW,August_24
2038-08,120.05,NSW,August_24
2038-09,79.1,NSW,August_24
2038-10,64.47,NSW,August_24
2038-11,48.91,NSW,August_24
2038-12,50.57,NSW,August_24
2039-01,93.63,NSW,August_24
2039-02,110.21,NSW,August_24
2039-03,148.4,NSW,August_24
2039-04,131.87,NSW,August_24
2039-05,112.81,NSW,August_24
2039-06,172.43,NSW,August_24
2039-07,147.63,NSW,August_24
2039-08,124.61,NSW,August_24
2039-09,76.03,NSW,August_24
2039-10,62.95,NSW,August_24
2039-11,48.09,NSW,August_24
2039-12,51.95,NSW,August_24
2040-01,102.67,NSW,August_24
2040-02,114.1,NSW,August_24
2040-03,153.54,NSW,August_24
2040-04,133.21,NSW,August_24
2040-05,106.23,NSW,August_24
2040-06,169.23,NSW,August_24
2040-07,134.08,NSW,August_24
2040-08,122.43,NSW,August_24
2040-09,79.34,NSW,August_24
2040-10,62.78,NSW,August_24
2040-11,43.72,NSW,August_24
2040-12,50.46,NSW,August_24
2041-01,92.78,NSW,August_24
2041-02,111.45,NSW,August_24
2041-03,161.57,NSW,August_24
2041-04,139.32,NSW,August_24
2041-05,110.19,NSW,August_24
2041-06,177.25,NSW,August_24
2041-07,131.89,NSW,August_24
2041-08,121.69,NSW,August_24
2041-09,87.84,NSW,August_24
2041-10,64.45,NSW,August_24
2041-11,48.35,NSW,August_24
2041-12,67.42,NSW,August_24
2042-01,95.28,NSW,August_24
2042-02,107.22,NSW,August_24
2042-03,143.92,NSW,August_24
2042-04,133.83,NSW,August_24
2042-05,106.38,NSW,August_24
2042-06,189.58,NSW,August_24
2042-07,137.72,NSW,August_24
2042-08,124.56,NSW,August_24
2042-09,89.61,NSW,August_24
2042-10,64.75,NSW,August_24
2042-11,55.44,NSW,August_24
2042-12,53.43,NSW,August_24
2043-01,94.73,NSW,August_24
2043-02,112.89,NSW,August_24
2043-03,140.8,NSW,August_24
2043-04,132.58,NSW,August_24
2043-05,107.83,NSW,August_24
2043-06,167.85,NSW,August_24
2043-07,136.03,NSW,August_24
2043-08,123.04,NSW,August_24
2043-09,93.08,NSW,August_24
2043-10,63.8,NSW,August_24
2043-11,49.9,NSW,August_24
2043-12,60.77,NSW,August_24
2044-01,98.08,NSW,August_24
2044-02,107.11,NSW,August_24
2044-03,149.05,NSW,August_24
2044-04,128.18,NSW,August_24
2044-05,111.14,NSW,August_24
2044-06,172.96,NSW,August_24
2044-07,130.0,NSW,August_24
2044-08,131.28,NSW,August_24
2044-09,84.68,NSW,August_24
2044-10,63.75,NSW,August_24
2044-11,53.02,NSW,August_24
2044-12,51.81,NSW,August_24
2045-01,99.07,NSW,August_24
2045-02,109.69,NSW,August_24
2045-03,140.79,NSW,August_24
2045-04,132.92,NSW,August_24
2045-05,106.77,NSW,August_24
2045-06,176.48,NSW,August_24
2045-07,138.35,NSW,August_24
2045-08,125.17,NSW,August_24
2045-09,86.8,NSW,August_24
2045-10,64.75,NSW,August_24
2045-11,47.55,NSW,August_24
2045-12,51.03,NSW,August_24
2046-01,93.54,NSW,August_24
2046-02,106.7,NSW,August_24
2046-03,139.52,NSW,August_24
2046-04,139.75,NSW,August_24
2046-05,105.85,NSW,August_24
2046-06,195.11,NSW,August_24
2046-07,144.79,NSW,August_24
2046-08,123.14,NSW,August_24
2046-09,89.56,NSW,August_24
2046-10,65.17,NSW,August_24
2046-11,56.19,NSW,August_24
2046-12,51.85,NSW,August_24
2047-01,95.62,NSW,August_24
2047-02,111.03,NSW,August_24
2047-03,139.12,NSW,August_24
2047-04,130.37,NSW,August_24
2047-05,106.36,NSW,August_24
2047-06,167.79,NSW,August_24
2047-07,133.19,NSW,August_24
2047-08,130.61,NSW,August_24
2047-09,82.37,NSW,August_24
2047-10,67.65,NSW,August_24
2047-11,47.66,NSW,August_24
2047-12,51.41,NSW,August_24
2048-01,94.57,NSW,August_24
2048-02,103.5,NSW,August_24
2048-03,145.54,NSW,August_24
2048-04,126.87,NSW,August_24
2048-05,115.98,NSW,August_24
2048-06,172.16,NSW,August_24
2048-07,137.34,NSW,August_24
2048-08,125.3,NSW,August_24
2048-09,85.83,NSW,August_24
2048-10,65.75,NSW,August_24
2048-11,48.43,NSW,August_24
2048-12,49.54,NSW,August_24
2049-01,94.52,NSW,August_24
2049-02,104.13,NSW,August_24
2049-03,136.96,NSW,August_24
2049-04,138.12,NSW,August_24
2049-05,106.49,NSW,August_24
2049-06,197.75,NSW,August_24
2049-07,134.25,NSW,August_24
2049-08,125.34,NSW,August_24
2049-09,77.99,NSW,August_24
2049-10,56.15,NSW,August_24
2049-11,38.98,NSW,August_24
2049-12,41.24,NSW,August_24
2050-01,96.95,NSW,August_24
2050-02,101.75,NSW,August_24
2050-03,135.3,NSW,August_24
2050-04,128.34,NSW,August_24
2050-05,107.4,NSW,August_24
2050-06,193.37,NSW,August_24
2050-07,135.04,NSW,August_24
2050-08,125.74,NSW,August_24
2050-09,83.32,NSW,August_24
2050-10,58.56,NSW,August_24
2050-11,40.42,NSW,August_24
2050-12,41.85,NSW,August_24
2051-01,92.81,NSW,August_24
2051-02,102.88,NSW,August_24
2051-03,138.57,NSW,August_24
2051-04,136.32,NSW,August_24
2051-05,110.64,NSW,August_24
2051-06,174.17,NSW,August_24
2051-07,136.64,NSW,August_24
2051-08,144.4,NSW,August_24
2051-09,77.91,NSW,August_24
2051-10,54.5,NSW,August_24
2051-11,38.49,NSW,August_24
2051-12,41.72,NSW,August_24
2052-01,83.92,NSW,August_24
2052-02,106.96,NSW,August_24
2052-03,135.75,NSW,August_24
2052-04,128.14,NSW,August_24
2052-05,112.17,NSW,August_24
2052-06,193.2,NSW,August_24
2052-07,123.32,NSW,August_24
2052-08,121.51,NSW,August_24
2052-09,82.76,NSW,August_24
2052-10,57.22,NSW,August_24
2052-11,40.82,NSW,August_24
2052-12,68.81,NSW,August_24
2053-01,85.33,NSW,August_24
2053-02,109.43,NSW,August_24
2053-03,151.15,NSW,August_24
2053-04,134.45,NSW,August_24
2053-05,111.16,NSW,August_24
2053-06,172.54,NSW,August_24
2053-07,140.9,NSW,August_24
2053-08,124.25,NSW,August_24
2053-09,75.49,NSW,August_24
2053-10,55.97,NSW,August_24
2053-11,39.71,NSW,August_24
2053-12,39.91,NSW,August_24
2054-01,87.65,NSW,August_24
2054-02,105.8,NSW,August_24
2054-03,136.04,NSW,August_24
2054-04,131.45,NSW,August_24
2054-05,113.31,NSW,August_24
2054-06,175.62,NSW,August_24
2054-07,135.86,NSW,August_24
2054-08,125.1,NSW,August_24
2054-09,78.16,NSW,August_24
2054-10,57.16,NSW,August_24
2054-11,40.87,NSW,August_24
2054-12,42.72,NSW,August_24
2055-01,93.05,NSW,August_24
2055-02,107.84,NSW,August_24
2055-03,137.4,NSW,August_24
2055-04,142.26,NSW,August_24
2055-05,113.76,NSW,August_24
2055-06,173.93,NSW,August_24
2055-07,128.91,NSW,August_24
2055-08,125.58,NSW,August_24
2055-09,73.51,NSW,August_24
2055-10,59.24,NSW,August_24
2055-11,38.8,NSW,August_24
2055-12,40.92,NSW,August_24
