fy_quarter,vintage,region,Energy_TWA,Solar_DWA_PreCurt,Wind_DWA_PreCurt,Solar_DWA_PostCurt0,Wind_DWA_PostCurt0,Solar_DWA_PostCurtLGC,Wind_DWA_PostCurtLGC,LGC,Spread_4hr,Spread_2hr,Spread_1hr,Spread_Half-hourly
FY2025-Q1,August_24,NSW,119.58,54.09,116.44,71.98,127.63,56.07,118.06,41.03,155,208.69,283.33,404.06
FY2025-Q2,August_24,NSW,91.43,50.7,93.25,68.68,103.85,52.87,94.64,41.03,155,208.69,283.33,404.06
FY2025-Q3,August_24,NSW,87.23,60.41,86.47,66.22,90.25,61.67,87.78,41.03,155,208.69,283.33,404.06
FY2025-Q4,August_24,NSW,107.22,48.26,102.15,67.38,111.04,53.43,104.95,41.03,155,208.69,283.33,404.06
FY2026-Q1,August_24,NSW,119.36,57.02,113.91,69.61,122.27,59.84,116,33.8,170.54,235.86,319.56,418.02
FY2026-Q2,August_24,NSW,88.44,48.07,89,63.47,98.32,50.64,90.57,33.8,170.54,235.86,319.56,418.02
FY2026-Q3,August_24,NSW,105.09,68.49,96.58,71.47,99.22,69.23,97.51,33.8,170.54,235.86,319.56,418.02
FY2026-Q4,August_24,NSW,106.41,57.95,104,73.5,110.73,63.18,106.6,33.8,170.54,235.86,319.56,418.02
FY2027-Q1,August_24,NSW,114.01,55.5,105.87,63.42,111.03,56.67,106.84,29.36,137.31,189.15,272.41,375.81
FY2027-Q2,August_24,NSW,76.29,42.46,77.1,54.85,84.94,43.47,77.71,29.36,137.31,189.15,272.41,375.81
FY2027-Q3,August_24,NSW,77.73,50.72,76.28,54.34,78.89,51.47,77.1,29.36,137.31,189.15,272.41,375.81
FY2027-Q4,August_24,NSW,96.68,51.39,91.75,63.3,97.18,54.7,93.37,29.36,137.31,189.15,272.41,375.81
FY2028-Q1,August_24,NSW,119.79,62.91,110.87,70.31,115.96,64.32,111.96,24.89,135.03,183.48,251.36,334.15
FY2028-Q2,August_24,NSW,78.73,48.13,77.96,56.07,83.16,49.77,78.83,24.89,135.03,183.48,251.36,334.15
FY2028-Q3,August_24,NSW,84.03,58.84,83.24,60.06,84.49,59.53,84.07,24.89,135.03,183.48,251.36,334.15
FY2028-Q4,August_24,NSW,107.84,60.47,102.07,69.85,106.44,64.09,103.92,24.89,135.03,183.48,251.36,334.15
FY2029-Q1,August_24,NSW,121.79,58.45,108.88,71.47,117.97,62.43,111.84,21.16,163.22,225.37,310.75,414.51
FY2029-Q2,August_24,NSW,74.93,39.66,73.81,56.94,84.18,47,78.49,21.16,163.22,225.37,310.75,414.51
FY2029-Q3,August_24,NSW,92.04,58.38,86.91,65.18,92.2,60.67,88.45,21.16,163.22,225.37,310.75,414.51
FY2029-Q4,August_24,NSW,123.69,59.88,111.1,74.01,118.06,64.97,113.67,21.16,163.22,225.37,310.75,414.51
FY2030-Q1,August_24,NSW,104.12,56.3,94.98,63.67,100.93,58.61,96.94,15.61,129.94,174.46,239.5,331.86
FY2030-Q2,August_24,NSW,66.41,38.23,65.29,48,71.58,41.44,67.33,15.61,129.94,174.46,239.5,331.86
FY2030-Q3,August_24,NSW,85.32,54.11,76.27,61.99,82.6,58.24,79.09,15.61,129.94,174.46,239.5,331.86
FY2030-Q4,August_24,NSW,103.21,55.56,95.46,66.39,100.67,58.59,97.15,15.61,129.94,174.46,239.5,331.86
FY2031-Q1,August_24,NSW,93.75,57.6,87.04,58.66,87.8,57.72,87.1,10.57,97.72,135.78,189.2,265.52
FY2031-Q2,August_24,NSW,66.03,45.27,64.48,45.82,64.9,45.3,64.5,10.57,97.72,135.78,189.2,265.52
FY2031-Q3,August_24,NSW,64.92,47.13,62.91,48.02,63.57,47.63,63.26,10.57,97.72,135.78,189.2,265.52
FY2031-Q4,August_24,NSW,82.49,55.14,79.27,56.81,80.08,55.17,79.28,10.57,97.72,135.78,189.2,265.52
FY2032-Q1,August_24,NSW,97.7,63.53,92.32,64.46,92.98,63.76,92.47,9.51,107.8,151.5,213.16,294.96
FY2032-Q2,August_24,NSW,66.05,47.28,64.99,47.81,65.37,47.35,65.05,9.51,107.8,151.5,213.16,294.96
FY2032-Q3,August_24,NSW,77.53,54.27,78.22,55.26,79.07,54.59,78.53,9.51,107.8,151.5,213.16,294.96
FY2032-Q4,August_24,NSW,100.01,63.23,102.75,64.48,103.49,63.35,102.82,9.51,107.8,151.5,213.16,294.96
FY2033-Q1,August_24,NSW,107.26,66.51,97.32,67.88,98.29,66.62,97.4,8.46,111.33,154.96,220.45,319.97
FY2033-Q2,August_24,NSW,71.1,48,67.05,48.7,67.63,48.04,67.08,8.46,111.33,154.96,220.45,319.97
FY2033-Q3,August_24,NSW,81.57,60.42,77.14,61.88,78.32,61.01,77.53,8.46,111.33,154.96,220.45,319.97
FY2033-Q4,August_24,NSW,97.34,65.03,91.23,65.66,91.54,65.03,91.23,8.46,111.33,154.96,220.45,319.97
FY2034-Q1,August_24,NSW,115.17,66.41,103.05,68.34,104.62,66.5,103.15,7.4,124.69,170.47,239.9,346.71
FY2034-Q2,August_24,NSW,67.24,43.66,62.95,45.21,64.19,44.28,63.48,7.4,124.69,170.47,239.9,346.71
FY2034-Q3,August_24,NSW,102.02,75.69,97.21,77.51,98.4,76.22,97.52,7.4,124.69,170.47,239.9,346.71
FY2034-Q4,August_24,NSW,114.27,72.61,106.41,73.66,107.03,72.83,106.53,7.4,124.69,170.47,239.9,346.71
FY2035-Q1,August_24,NSW,113.99,74.26,98.53,77.1,100.83,74.86,99,6.34,126.75,174.45,249.19,343.84
FY2035-Q2,August_24,NSW,63.75,41.46,60.07,43.51,61.63,42.48,60.89,6.34,126.75,174.45,249.19,343.84
FY2035-Q3,August_24,NSW,98.01,72,94.16,73.83,95.54,72.61,94.59,6.34,126.75,174.45,249.19,343.84
FY2035-Q4,August_24,NSW,114.46,78.48,106.18,79.56,106.84,78.69,106.31,6.34,126.75,174.45,249.19,343.84
FY2036-Q1,August_24,NSW,131.26,65.39,113.22,72.84,119.63,69.23,116.62,5.29,161.35,220.69,308.72,451.52
FY2036-Q2,August_24,NSW,63.76,36.5,61.35,40.56,64.48,38.69,63.03,5.29,161.35,220.69,308.72,451.52
FY2036-Q3,August_24,NSW,120.04,84.01,113.99,90.05,118.36,86.07,115.68,5.29,161.35,220.69,308.72,451.52
FY2036-Q4,August_24,NSW,142.35,81.11,128.87,84.77,131.23,82.97,130.16,5.29,161.35,220.69,308.72,451.52
FY2037-Q1,August_24,NSW,122.69,63.15,107.08,69.77,112.77,66.65,110.17,4.23,163.86,226.07,322.44,450.75
FY2037-Q2,August_24,NSW,57.74,34.39,55.03,38.81,58.03,37.1,56.89,4.23,163.86,226.07,322.44,450.75
FY2037-Q3,August_24,NSW,123.73,88.95,115.15,96.23,120.03,92.75,117.67,4.23,163.86,226.07,322.44,450.75
FY2037-Q4,August_24,NSW,154.2,80.37,137.18,84.08,139.86,81.82,138.33,4.23,163.86,226.07,322.44,450.75
FY2038-Q1,August_24,NSW,134.6,63.06,112.46,69.89,118.42,66.79,115.78,3.17,168.07,233.17,323.47,433.7
FY2038-Q2,August_24,NSW,57.16,34.39,54.6,38.8,57.59,37.39,56.59,3.17,168.07,233.17,323.47,433.7
FY2038-Q3,August_24,NSW,124.09,82.77,118.67,89.1,123.45,86.49,121.42,3.17,168.07,233.17,323.47,433.7
FY2038-Q4,August_24,NSW,149.92,81.47,140.54,84.96,142.91,83.01,141.67,3.17,168.07,233.17,323.47,433.7
FY2039-Q1,August_24,NSW,137.47,64.81,114.52,70.61,119.6,68.55,117.78,2.11,168.14,234.38,329.23,463.79
FY2039-Q2,August_24,NSW,56.66,34.68,54.65,38.71,57.36,37.58,56.56,2.11,168.14,234.38,329.23,463.79
FY2039-Q3,August_24,NSW,123.83,89.01,117.41,94.29,121.25,92.39,119.86,2.11,168.14,234.38,329.23,463.79
FY2039-Q4,August_24,NSW,153.05,85.49,139.04,88.32,141.15,86.97,140.18,2.11,168.14,234.38,329.23,463.79
FY2040-Q1,August_24,NSW,142.87,67.03,116.09,71.81,120.34,70.85,119.58,1.06,168.61,230.43,315.05,446.3
FY2040-Q2,August_24,NSW,56.39,34.34,54.33,36.82,56.17,36.24,55.68,1.06,168.61,230.43,315.05,446.3
FY2040-Q3,August_24,NSW,128.91,87.71,123.44,89.98,125.48,89.27,124.89,1.06,168.61,230.43,315.05,446.3
FY2040-Q4,August_24,NSW,150.56,87.78,136.22,89.95,137.73,89.47,137.44,1.06,168.61,230.43,315.05,446.3
FY2041-Q1,August_24,NSW,128.51,70.07,111.95,73.53,114.88,72.77,114.35,1.06,150.73,202.33,285.57,405.79
FY2041-Q2,August_24,NSW,55.4,34,52.32,36.74,54.2,36.17,53.78,1.06,150.73,202.33,285.57,405.79
FY2041-Q3,August_24,NSW,128.97,97,121.93,100.44,124.47,99.65,123.92,1.06,150.73,202.33,285.57,405.79
FY2041-Q4,August_24,NSW,159.58,90.82,142.25,92.31,143.34,91.99,143.09,1.06,150.73,202.33,285.57,405.79
FY2042-Q1,August_24,NSW,132.35,68.07,113.81,72.43,117.49,71.43,116.8,1.06,157.7,211.54,289.05,407.16
FY2042-Q2,August_24,NSW,61.67,34.27,60.07,37.76,62.74,37.25,62.31,1.06,157.7,211.54,289.05,407.16
FY2042-Q3,August_24,NSW,120.01,84.89,115.47,89.23,118.6,88.31,118.05,1.06,157.7,211.54,289.05,407.16
FY2042-Q4,August_24,NSW,159.66,88.54,143.26,90.85,144.95,90.03,144.32,1.06,157.7,211.54,289.05,407.16
FY2043-Q1,August_24,NSW,140.3,67.98,117.3,72.56,121.35,71.59,120.61,1.06,158.61,212.22,290.62,380.96
FY2043-Q2,August_24,NSW,62.67,33.72,57.87,37.24,60.59,36.64,60.09,1.06,158.61,212.22,290.62,380.96
FY2043-Q3,August_24,NSW,120.28,83.12,116.14,87.83,119.74,86.67,118.91,1.06,158.61,212.22,290.62,380.96
FY2043-Q4,August_24,NSW,150.09,89.54,136.09,91.53,137.54,90.89,136.99,1.06,158.61,212.22,290.62,380.96
FY2044-Q1,August_24,NSW,136.4,67.44,117.38,73.27,122.64,71.68,121.28,1.06,161.71,217.11,305.27,450.93
FY2044-Q2,August_24,NSW,61.3,32.39,58.16,35.41,60.77,34.75,60.14,1.06,161.71,217.11,305.27,450.93
FY2044-Q3,August_24,NSW,124.09,83.29,118.08,87.62,121.51,86.37,120.52,1.06,161.71,217.11,305.27,450.93
FY2044-Q4,August_24,NSW,151.3,90.51,137.43,93.65,139.72,93.14,139.39,1.06,161.71,217.11,305.27,450.93
FY2045-Q1,August_24,NSW,135.51,67.36,115.32,71.9,119.29,70.9,118.57,1.06,171.47,230.59,315.25,424.49
FY2045-Q2,August_24,NSW,59.38,32.47,56.19,36.05,58.96,35.37,58.43,1.06,171.47,230.59,315.25,424.49
FY2045-Q3,August_24,NSW,122.24,81.25,116.52,85.97,120.11,84.87,119.33,1.06,171.47,230.59,315.25,424.49
FY2045-Q4,August_24,NSW,158.47,89.09,138.72,91.41,140.57,90.68,139.94,1.06,171.47,230.59,315.25,424.49
FY2046-Q1,August_24,NSW,140.64,66.68,116.77,70.85,120.7,70.08,120,1.06,168.78,233.08,323.22,444.67
FY2046-Q2,August_24,NSW,57.76,32.35,54.44,36.2,57.28,35.51,56.76,1.06,168.78,233.08,323.22,444.67
FY2046-Q3,August_24,NSW,117.14,80.98,113.25,85.86,116.9,84.8,116.2,1.06,168.78,233.08,323.22,444.67
FY2046-Q4,August_24,NSW,159.02,89.82,146.9,92.76,149.01,91.84,148.3,1.06,168.78,233.08,323.22,444.67
FY2047-Q1,August_24,NSW,145.27,66.7,119.16,71.36,123.61,70.35,122.69,1.06,169.15,231.32,318.43,431.2
FY2047-Q2,August_24,NSW,62.29,32.1,57.74,35.94,60.84,35.24,60.21,1.06,169.15,231.32,318.43,431.2
FY2047-Q3,August_24,NSW,118.43,79.93,115.26,84.99,119.27,83.7,118.3,1.06,169.15,231.32,318.43,431.2
FY2047-Q4,August_24,NSW,148.73,89.82,134.84,92.51,136.76,91.79,136.2,1.06,169.15,231.32,318.43,431.2
FY2048-Q1,August_24,NSW,137.38,67.38,115.39,72.7,120.22,71.42,119.2,1.06,165.29,223.07,314.75,438.46
FY2048-Q2,August_24,NSW,59,30.91,55.57,34.13,58.13,33.35,57.45,1.06,165.29,223.07,314.75,438.46
FY2048-Q3,August_24,NSW,119.59,78.47,114.54,82.73,117.96,81.64,117.1,1.06,165.29,223.07,314.75,438.46
FY2048-Q4,August_24,NSW,154.59,94.42,138.34,98.03,141.03,97.59,140.72,1.06,165.29,223.07,314.75,438.46
FY2049-Q1,August_24,NSW,140.55,66.84,116.16,71.66,120.56,70.65,119.75,1.06,170.03,235.96,329.33,451.77
FY2049-Q2,August_24,NSW,57.58,31.65,54.57,35.74,57.67,34.98,57.05,1.06,170.03,235.96,329.33,451.77
FY2049-Q3,August_24,NSW,115.63,78.14,111.87,83.01,115.61,81.56,114.58,1.06,170.03,235.96,329.33,451.77
FY2049-Q4,August_24,NSW,159.38,92.75,147.45,95.41,149.46,94.6,148.78,1.06,170.03,235.96,329.33,451.77
FY2050-Q1,August_24,NSW,137.12,66.09,112.53,70.42,116.5,69.68,115.9,1.06,160.8,222.13,317.98,439.22
FY2050-Q2,August_24,NSW,48.52,26.94,45.46,30.53,48.12,29.94,47.65,1.06,160.8,222.13,317.98,439.22
FY2050-Q3,August_24,NSW,114.99,76.31,111.33,81.38,115.59,80.07,114.48,1.06,160.8,222.13,317.98,439.22
FY2050-Q4,August_24,NSW,154.19,93.59,143.04,96.47,145.13,95.64,144.51,1.06,160.8,222.13,317.98,439.22
FY2051-Q1,August_24,NSW,139.29,66.3,114.7,70.72,118.84,69.96,118.17,1.06,166.23,228.16,320.75,455.11
FY2051-Q2,August_24,NSW,50.4,26.63,46.94,30.42,49.85,29.8,49.35,1.06,166.23,228.16,320.75,455.11
FY2051-Q3,August_24,NSW,115.84,77.29,111.42,82.62,115.84,81.23,114.67,1.06,166.23,228.16,320.75,455.11
FY2051-Q4,August_24,NSW,155.77,93.45,140.38,96.22,142.51,95.38,141.83,1.06,166.23,228.16,320.75,455.11
FY2052-Q1,August_24,NSW,140.4,64.47,119.65,70.17,125.04,68.54,123.72,1.06,164.54,226.32,316.38,437.94
FY2052-Q2,August_24,NSW,47.34,24.88,44.9,27.96,47.36,27.27,46.79,1.06,164.54,226.32,316.38,437.94
FY2052-Q3,August_24,NSW,111.48,73.44,108.88,78.48,112.98,76.96,111.84,1.06,164.54,226.32,316.38,437.94
FY2052-Q4,August_24,NSW,155.99,96.3,144.5,100.56,147.39,99.76,146.91,1.06,164.54,226.32,316.38,437.94
FY2053-Q1,August_24,NSW,127.67,66.29,109.2,70.36,112.9,69.56,112.29,1.06,161.99,220.58,310.44,412.32
FY2053-Q2,August_24,NSW,55.3,26.43,55.62,30.16,58.99,29.55,58.42,1.06,161.99,220.58,310.44,412.32
FY2053-Q3,August_24,NSW,120.65,73.95,115.3,79.04,119.7,77.85,118.67,1.06,161.99,220.58,310.44,412.32
FY2053-Q4,August_24,NSW,153.03,93.37,139.38,96.62,141.72,95.83,141.09,1.06,161.99,220.58,310.44,412.32
FY2054-Q1,August_24,NSW,137.15,66.72,113.55,70.95,117.56,70.14,116.78,1.06,160.67,218.51,306.13,428.6
FY2054-Q2,August_24,NSW,47.64,25.77,45.2,29.38,47.9,28.76,47.41,1.06,160.67,218.51,306.13,428.6
FY2054-Q3,August_24,NSW,116.64,77.16,109.83,82.57,114.08,81.37,113.13,1.06,160.67,218.51,306.13,428.6
FY2054-Q4,August_24,NSW,156.54,95.44,140.13,98.71,142.44,97.76,141.71,1.06,160.67,218.51,306.13,428.6
FY2055-Q1,August_24,NSW,134.08,67.68,113.04,71.87,117.1,71.06,116.31,1.06,162.76,223.31,319.73,426.25
FY2055-Q2,August_24,NSW,49.42,27.42,46.92,31.28,49.74,30.63,49.25,1.06,162.76,223.31,319.73,426.25
FY2055-Q3,August_24,NSW,119.43,75.2,112.76,80.09,117.07,79.03,116.13,1.06,162.76,223.31,319.73,426.25
FY2055-Q4,August_24,NSW,160.66,96.9,143.32,99.78,145.38,99.08,144.83,1.06,162.76,223.31,319.73,426.25
FY2056-Q1,August_24,NSW,130.77,68.1,109.33,73.04,113.69,71.56,112.63,1.06,160.15,217.69,298.23,410.41
FY2056-Q2,August_24,NSW,49.38,25.07,46.32,28.26,48.91,27.58,48.36,1.06,160.15,217.69,298.23,410.41
FY2056-Q3,August_24,NSW,123.71,74.43,116.88,78.99,120.91,77.34,119.6,1.06,160.15,217.69,298.23,410.41
FY2056-Q4,August_24,NSW,154.39,97.17,138.63,100.91,141.24,100.25,140.79,1.06,160.15,217.69,298.23,410.41
FY2057-Q1,August_24,NSW,139.79,77.44,117.85,81.33,121.18,80.24,120.47,1.06,162.17,222.02,308.32,412.47
FY2057-Q2,August_24,NSW,49.85,28.03,46.61,32.09,49.48,31.44,49.01,1.06,162.17,222.02,308.32,412.47
FY2057-Q3,August_24,NSW,115.34,79.55,111.21,84.51,115.22,83.33,114.18,1.06,162.17,222.02,308.32,412.47
FY2057-Q4,August_24,NSW,163.16,99.87,146.59,102.48,148.45,101.8,147.86,1.06,162.17,222.02,308.32,412.47
FY2058-Q1,August_24,NSW,137.48,68.99,112.92,73.19,116.78,72.46,116.17,1.06,161.35,219.39,307.17,440.91
FY2058-Q2,August_24,NSW,51.6,25.18,46.61,28.8,49.54,28.23,49.06,1.06,161.35,219.39,307.17,440.91
FY2058-Q3,August_24,NSW,113.22,76.8,109.43,81.9,113.55,80.52,112.43,1.06,161.35,219.39,307.17,440.91
FY2058-Q4,August_24,NSW,157.99,98.1,142.58,100.86,144.58,100.17,144.1,1.06,161.35,219.39,307.17,440.91
FY2059-Q1,August_24,NSW,134.53,69.29,112.94,73.11,116.47,72.05,115.68,1.06,157.48,215.32,292.93,395.57
FY2059-Q2,August_24,NSW,46.55,25.18,43.76,28.67,46.38,28.19,45.98,1.06,157.48,215.32,292.93,395.57
FY2059-Q3,August_24,NSW,110.91,75.59,107.7,80.25,111.42,79.18,110.49,1.06,157.48,215.32,292.93,395.57
FY2059-Q4,August_24,NSW,165.45,99.08,151.99,101.47,153.7,100.9,153.22,1.06,157.48,215.32,292.93,395.57
FY2060-Q1,August_24,NSW,137.12,70.14,112.01,74.51,115.89,73.17,114.93,1.06,156.29,213.54,295.18,405.78
FY2060-Q2,August_24,NSW,45.08,23.75,42.1,26.69,44.47,26.18,44.04,1.06,156.29,213.54,295.18,405.78
FY2060-Q3,August_24,NSW,110.52,76.14,107.22,80.56,110.58,79.05,109.58,1.06,156.29,213.54,295.18,405.78
FY2060-Q4,August_24,NSW,157.6,98.7,142.22,101.71,144.48,101.31,144.17,1.06,156.29,213.54,295.18,405.78
FY2025-Q1,August_24,QLD,101.11,36.3,112.86,52.77,122.02,39.26,113.98,41.03,173,236.86,321.22,437.22
FY2025-Q2,August_24,QLD,101.4,56.36,107.63,67.72,112.99,60.41,109.39,41.03,173,236.86,321.22,437.22
FY2025-Q3,August_24,QLD,97.95,65.9,103.49,67.76,104.15,66.98,103.78,41.03,173,236.86,321.22,437.22
FY2025-Q4,August_24,QLD,101.78,50.97,104.28,66.51,111.81,55.26,106.1,41.03,173,236.86,321.22,437.22
FY2026-Q1,August_24,QLD,81.55,22.11,84.57,42.88,97.18,27.39,87.83,33.8,168.83,236.09,328.58,402.12
FY2026-Q2,August_24,QLD,86.9,45.36,94.73,56.16,99.62,48.59,96.03,33.8,168.83,236.09,328.58,402.12
FY2026-Q3,August_24,QLD,104.04,60.27,109.53,62.3,110.5,61.05,109.83,33.8,168.83,236.09,328.58,402.12
FY2026-Q4,August_24,QLD,95.74,44.88,93.27,59.49,100.26,49.42,95.1,33.8,168.83,236.09,328.58,402.12
FY2027-Q1,August_24,QLD,76.84,7.96,79.23,45.21,100.86,21.34,89.04,29.36,174.19,242.27,341.53,468.68
FY2027-Q2,August_24,QLD,75.04,29.92,81.06,48.08,92.14,34.49,83.95,29.36,174.19,242.27,341.53,468.68
FY2027-Q3,August_24,QLD,82.14,48.75,84.01,55.07,88.27,49.11,84.25,29.36,174.19,242.27,341.53,468.68
FY2027-Q4,August_24,QLD,91.36,38.02,87.79,58.11,98.91,43.26,91.45,29.36,174.19,242.27,341.53,468.68
FY2028-Q1,August_24,QLD,70.95,11.18,73.41,42.58,91.89,22.49,81.37,24.89,171.87,242.88,338.19,450.83
FY2028-Q2,August_24,QLD,77.33,33.76,81.27,50.5,91.06,38.57,84.32,24.89,171.87,242.88,338.19,450.83
FY2028-Q3,August_24,QLD,82.67,45.03,85.52,50.29,89.42,46.12,86,24.89,171.87,242.88,338.19,450.83
FY2028-Q4,August_24,QLD,96.21,44.63,90.14,62.87,100.35,50.76,93.64,24.89,171.87,242.88,338.19,450.83
FY2029-Q1,August_24,QLD,70.63,7.5,70.9,44.43,92.01,21.03,80.34,21.16,175.93,245.53,350.74,503.92
FY2029-Q2,August_24,QLD,70.84,29.65,74.75,47.76,85.82,36.19,78.86,21.16,175.93,245.53,350.74,503.92
FY2029-Q3,August_24,QLD,79.63,43.72,79.1,52.47,85.22,45.02,79.93,21.16,175.93,245.53,350.74,503.92
FY2029-Q4,August_24,QLD,94.04,37.69,98.97,57.55,113.17,44.53,105.09,21.16,175.93,245.53,350.74,503.92
FY2030-Q1,August_24,QLD,67.72,11.25,69.18,41.81,88.08,22.09,77.89,15.61,168.83,241.96,357.06,522.91
FY2030-Q2,August_24,QLD,66.15,28.05,70.06,44.78,80.37,35.8,74.92,15.61,168.83,241.96,357.06,522.91
FY2030-Q3,August_24,QLD,76.98,44.54,74.01,53.74,80.19,46.46,75.24,15.61,168.83,241.96,357.06,522.91
FY2030-Q4,August_24,QLD,91.94,38.86,85.9,57.03,97.48,45.93,90.97,15.61,168.83,241.96,357.06,522.91
FY2031-Q1,August_24,QLD,68.27,17.67,68.23,35.56,80.53,25.07,74.07,10.57,150.09,218.69,325.12,469.3
FY2031-Q2,August_24,QLD,66.95,36.05,67.82,46.69,73.87,40.72,70.58,10.57,150.09,218.69,325.12,469.3
FY2031-Q3,August_24,QLD,79.09,47.95,81.53,52.14,85.06,49.56,82.68,10.57,150.09,218.69,325.12,469.3
FY2031-Q4,August_24,QLD,82.97,44.44,80.38,54.61,86.97,48.03,82.92,10.57,150.09,218.69,325.12,469.3
FY2032-Q1,August_24,QLD,74.07,33.63,74.52,37.13,77.4,34.83,75.37,9.51,119.72,172.69,256.25,376.34
FY2032-Q2,August_24,QLD,66.82,44.04,68.71,45.09,69.4,44.43,69.02,9.51,119.72,172.69,256.25,376.34
FY2032-Q3,August_24,QLD,79.58,62.18,76.16,62.41,76.26,62.18,76.18,9.51,119.72,172.69,256.25,376.34
FY2032-Q4,August_24,QLD,89.34,58.3,86.91,60.01,87.97,59.32,87.34,9.51,119.72,172.69,256.25,376.34
FY2033-Q1,August_24,QLD,76.55,35.8,74.63,40.51,78.41,37.8,76.08,8.46,123.85,181.35,272.04,391.86
FY2033-Q2,August_24,QLD,70.27,48.14,71.54,49.02,71.96,48.76,71.82,8.46,123.85,181.35,272.04,391.86
FY2033-Q3,August_24,QLD,86.75,61.03,86.99,61.14,87.09,61.14,87.09,8.46,123.85,181.35,272.04,391.86
FY2033-Q4,August_24,QLD,92.86,63.43,87.93,64.86,89.01,63.93,88.17,8.46,123.85,181.35,272.04,391.86
FY2034-Q1,August_24,QLD,98.45,49.62,93.87,60.3,101.43,54.39,97.38,7.4,142.69,200.44,283.03,384.94
FY2034-Q2,August_24,QLD,69.41,49.58,69.95,52.66,71.68,51.23,70.89,7.4,142.69,200.44,283.03,384.94
FY2034-Q3,August_24,QLD,104.05,76.38,102.04,77.82,103.06,77.18,102.71,7.4,142.69,200.44,283.03,384.94
FY2034-Q4,August_24,QLD,115.41,75.46,109.31,78.39,111.79,76.17,109.97,7.4,142.69,200.44,283.03,384.94
FY2035-Q1,August_24,QLD,82.9,42.73,79.09,52.4,86.03,47.43,82.75,6.34,143.57,202.08,286.53,405.61
FY2035-Q2,August_24,QLD,71.94,38.76,78.59,41.66,80.56,40.49,79.65,6.34,143.57,202.08,286.53,405.61
FY2035-Q3,August_24,QLD,103.27,74.51,100.18,75.51,101.1,74.9,100.54,6.34,143.57,202.08,286.53,405.61
FY2035-Q4,August_24,QLD,108.2,69.62,100.33,73.03,103.2,70.75,101.34,6.34,143.57,202.08,286.53,405.61
FY2036-Q1,August_24,QLD,96.85,46.71,90.32,60.17,99.79,55.46,96.74,5.29,173.33,242.47,334.88,428.84
FY2036-Q2,August_24,QLD,63.8,38.04,63.42,41.61,66.1,39.65,64.64,5.29,173.33,242.47,334.88,428.84
FY2036-Q3,August_24,QLD,137.55,84.94,125.61,89.46,129.46,87.61,127.95,5.29,173.33,242.47,334.88,428.84
FY2036-Q4,August_24,QLD,134.79,82.62,120.44,90.02,127.42,86.54,124.14,5.29,173.33,242.47,334.88,428.84
FY2037-Q1,August_24,QLD,104.32,45.88,95.09,58.69,104.85,54.71,101.86,4.23,168.99,237.15,335.54,453.44
FY2037-Q2,August_24,QLD,63.89,42.8,59.91,47.17,63.12,45.37,61.96,4.23,168.99,237.15,335.54,453.44
FY2037-Q3,August_24,QLD,124.27,91.99,119.69,96.28,123.88,94.49,122.1,4.23,168.99,237.15,335.54,453.44
FY2037-Q4,August_24,QLD,134.11,81.12,116.12,88.47,122.68,84.74,119.18,4.23,168.99,237.15,335.54,453.44
FY2038-Q1,August_24,QLD,103.63,47.7,97.06,58.2,105.49,54.86,102.86,3.17,170.24,241.73,355.99,512.01
FY2038-Q2,August_24,QLD,59.17,35.63,58.8,39.1,61.48,37.93,60.58,3.17,170.24,241.73,355.99,512.01
FY2038-Q3,August_24,QLD,134.58,92.49,122.73,95.46,125.72,94.54,124.79,3.17,170.24,241.73,355.99,512.01
FY2038-Q4,August_24,QLD,134.97,80.46,119.67,88.09,125.92,84.93,123.22,3.17,170.24,241.73,355.99,512.01
FY2039-Q1,August_24,QLD,100.59,48.76,91.36,58.54,98.58,56.4,97.02,2.11,162.96,227.41,329.86,476.12
FY2039-Q2,August_24,QLD,65.28,40.73,63.52,43.65,65.75,42.7,65.05,2.11,162.96,227.41,329.86,476.12
FY2039-Q3,August_24,QLD,131.57,94.63,121.51,97.9,124.42,97.14,123.75,2.11,162.96,227.41,329.86,476.12
FY2039-Q4,August_24,QLD,129.8,81.15,116.81,86.54,121.86,84.48,119.89,2.11,162.96,227.41,329.86,476.12
FY2040-Q1,August_24,QLD,109.27,46.76,100.46,54.43,106.83,53.72,106.24,1.06,162.3,222.43,299.19,396.99
FY2040-Q2,August_24,QLD,58.22,34.07,57.95,36.15,59.53,35.83,59.3,1.06,162.3,222.43,299.19,396.99
FY2040-Q3,August_24,QLD,127.21,87.67,121.39,90.4,123.67,90.14,123.39,1.06,162.3,222.43,299.19,396.99
FY2040-Q4,August_24,QLD,131.69,81.04,118.44,84.98,121.8,84.28,121.13,1.06,162.3,222.43,299.19,396.99
FY2041-Q1,August_24,QLD,105.02,46.92,96.53,54.75,102.8,53.6,101.75,1.06,164.3,231.55,325.54,445.45
FY2041-Q2,August_24,QLD,62.08,41.18,58.53,43.92,60.39,43.49,60.1,1.06,164.3,231.55,325.54,445.45
FY2041-Q3,August_24,QLD,126.47,91.25,123.34,94.15,126.4,93.62,125.95,1.06,164.3,231.55,325.54,445.45
FY2041-Q4,August_24,QLD,132.94,79.12,118.23,83.1,121.78,82.48,121.21,1.06,164.3,231.55,325.54,445.45
FY2042-Q1,August_24,QLD,101.24,50.15,91.82,59.01,98.19,57.68,97.2,1.06,162.86,229.06,330.06,421.84
