date,value,region,vintage
2038-03,117.52,NSW,August_24
2038-04,77.03,NSW,August_24
2038-05,55.16,NSW,August_24
2038-06,112.21,NSW,August_24
2038-07,82.79,NSW,August_24
2038-08,70.19,NSW,August_24
2038-09,41.46,NSW,August_24
2038-10,41.92,NSW,August_24
2038-11,29.71,NSW,August_24
2038-12,32.41,NSW,August_24
2039-01,71.02,NSW,August_24
2039-02,65.9,NSW,August_24
2039-03,130.12,NSW,August_24
2039-04,79.22,NSW,August_24
2039-05,55.58,NSW,August_24
2039-06,121.67,NSW,August_24
2039-07,86.82,NSW,August_24
2039-08,72.52,NSW,August_24
2039-09,41.75,NSW,August_24
2039-10,41.74,NSW,August_24
2039-11,29.26,NSW,August_24
2039-12,32.03,NSW,August_24
2040-01,72.19,NSW,August_24
2040-02,67.8,NSW,August_24
2040-03,123.13,NSW,August_24
2040-04,78.53,NSW,August_24
2040-05,61.14,NSW,August_24
2040-06,123.66,NSW,August_24
2040-07,91.89,NSW,August_24
2040-08,75.08,NSW,August_24
2040-09,43.23,NSW,August_24
2040-10,40.71,NSW,August_24
2040-11,28.06,NSW,August_24
2040-12,33.24,NSW,August_24
2041-01,77.41,NSW,August_24
2041-02,70.18,NSW,August_24
2041-03,143.41,NSW,August_24
2041-04,83.76,NSW,August_24
2041-05,64.29,NSW,August_24
2041-06,124.4,NSW,August_24
2041-07,89.27,NSW,August_24
2041-08,71.99,NSW,August_24
2041-09,42.94,NSW,August_24
2041-10,40.57,NSW,August_24
2041-11,28.95,NSW,August_24
2041-12,33.29,NSW,August_24
2042-01,73.96,NSW,August_24
2042-02,62.55,NSW,August_24
2042-03,118.15,NSW,August_24
2042-04,80.57,NSW,August_24
2042-05,64.15,NSW,August_24
2042-06,120.89,NSW,August_24
2042-07,89.37,NSW,August_24
2042-08,72.05,NSW,August_24
2042-09,42.51,NSW,August_24
2042-10,40.26,NSW,August_24
2042-11,28.73,NSW,August_24
2042-12,32.16,NSW,August_24
2043-01,71.63,NSW,August_24
2043-02,60.78,NSW,August_24
2043-03,116.96,NSW,August_24
2043-04,79.87,NSW,August_24
2043-05,64.05,NSW,August_24
2043-06,124.71,NSW,August_24
2043-07,87.55,NSW,August_24
2043-08,72.95,NSW,August_24
2043-09,41.83,NSW,August_24
2043-10,38.77,NSW,August_24
2043-11,27.87,NSW,August_24
2043-12,30.54,NSW,August_24
2044-01,70.5,NSW,August_24
2044-02,60.15,NSW,August_24
2044-03,119.21,NSW,August_24
2044-04,77.48,NSW,August_24
2044-05,69.23,NSW,August_24
2044-06,124.82,NSW,August_24
2044-07,91.22,NSW,August_24
2044-08,69.43,NSW,August_24
2044-09,41.43,NSW,August_24
2044-10,38.67,NSW,August_24
